eng_id,arq_candidato,score_arq,fnd_candidato,score_fnd,top_5,resultado,autoridad_transferida,canonizacion
ENG-058,ARQ-004,0.1527,FND-000,0.0537,ARQ-004:0.1527; ARQ-013:0.1263; ARQ-017:0.1191; ARQ-011:0.1071; ARQ-012:0.1027,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-064,ARQ-004,0.1164,FND-000,0.0487,ARQ-004:0.1164; ARQ-013:0.1020; ARQ-011:0.0962; ARQ-017:0.0852; ARQ-012:0.0727,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-082,ARQ-004,0.1177,FND-001,0.0535,ARQ-004:0.1177; ARQ-013:0.0870; ARQ-011:0.0851; ARQ-017:0.0810; ARQ-012:0.0637,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-083,ARQ-017,0.1008,FND-000,0.0441,ARQ-017:0.1008; ARQ-013:0.0964; ARQ-004:0.0935; ARQ-011:0.0834; ARQ-010:0.0699,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-084,ARQ-004,0.0902,FND-000,0.0505,ARQ-004:0.0902; ARQ-013:0.0794; ARQ-017:0.0771; ARQ-011:0.0727; ARQ-012:0.0524,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-085,ARQ-004,0.0946,FND-000,0.0507,ARQ-004:0.0946; ARQ-017:0.0904; ARQ-011:0.0859; ARQ-013:0.0824; ARQ-012:0.0738,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-086,ARQ-004,0.1176,FND-000,0.0507,ARQ-004:0.1176; ARQ-011:0.1091; ARQ-017:0.0977; ARQ-012:0.0958; ARQ-013:0.0952,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-087,ARQ-017,0.1177,FND-000,0.0436,ARQ-017:0.1177; ARQ-004:0.1102; ARQ-011:0.0965; ARQ-013:0.0894; ARQ-016:0.0877,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-088,ARQ-004,0.1053,FND-001,0.0485,ARQ-004:0.1053; ARQ-011:0.0916; ARQ-013:0.0908; ARQ-017:0.0870; ARQ-012:0.0782,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-089,ARQ-017,0.0889,FND-001,0.0401,ARQ-017:0.0889; ARQ-004:0.0861; ARQ-016:0.0821; ARQ-011:0.0760; ARQ-014:0.0759,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-090,ARQ-004,0.1077,FND-001,0.05,ARQ-004:0.1077; ARQ-006:0.0915; ARQ-017:0.0902; ARQ-013:0.0843; ARQ-016:0.0769,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-091,ARQ-004,0.0937,FND-001,0.0412,ARQ-004:0.0937; ARQ-017:0.0810; ARQ-013:0.0767; ARQ-006:0.0737; ARQ-011:0.0726,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-092,ARQ-004,0.0937,FND-001,0.0404,ARQ-004:0.0937; ARQ-017:0.0922; ARQ-013:0.0865; ARQ-011:0.0788; ARQ-014:0.0691,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-093,ARQ-017,0.1279,FND-001,0.0645,ARQ-017:0.1279; ARQ-004:0.1085; ARQ-013:0.0809; ARQ-011:0.0806; ARQ-016:0.0677,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-094,ARQ-017,0.1412,FND-000,0.0547,ARQ-017:0.1412; ARQ-004:0.1204; ARQ-011:0.0852; ARQ-013:0.0806; ARQ-016:0.0749,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-095,ARQ-013,0.0936,FND-000,0.046,ARQ-013:0.0936; ARQ-011:0.0899; ARQ-004:0.0895; ARQ-017:0.0828; ARQ-012:0.0659,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-096,ARQ-017,0.0927,FND-001,0.0351,ARQ-017:0.0927; ARQ-004:0.0873; ARQ-013:0.0789; ARQ-011:0.0713; ARQ-010:0.0598,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-097,ARQ-017,0.0973,FND-000,0.0469,ARQ-017:0.0973; ARQ-013:0.0844; ARQ-004:0.0836; ARQ-011:0.0826; ARQ-012:0.0664,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-098,ARQ-017,0.0961,FND-001,0.0432,ARQ-017:0.0961; ARQ-004:0.0914; ARQ-013:0.0831; ARQ-011:0.0768; ARQ-014:0.0622,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-099,ARQ-013,0.0924,FND-001,0.0339,ARQ-013:0.0924; ARQ-004:0.0870; ARQ-017:0.0819; ARQ-011:0.0814; ARQ-014:0.0673,RELACION_SEMANTICA_CANDIDATA,NO,NO
ENG-100,ARQ-004,0.1035,FND-001,0.0474,ARQ-004:0.1035; ARQ-017:0.0922; ARQ-013:0.0877; ARQ-011:0.0828; ARQ-014:0.0806,RELACION_SEMANTICA_CANDIDATA,NO,NO
