eng_id,arq_candidato,fnd_candidato,resolucion_normativa,terminos_compartidos_arq,terminos_compartidos_fnd,fundamento,dependencia_formal_creada,edicion_retroactiva,canonizacion,nuevo_mef_dic_id
ENG-058,ARQ-004,FND-000,ESPECIALIZACION,deberá;module;deberán;text;manifest;podrá;incluir;registry,mediante;arquitectura;componentes;estado;accepted;todo,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-064,ARQ-004,FND-000,ESPECIALIZACION,deberá;deberán;text;entre;podrá;incluir;registry;todo,arquitectura;estado;accepted;dependencias;todo;entre,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-082,ARQ-004,FND-001,ESPECIALIZACION,deberá;deberán;text;inventory;podrá;incluir;todo;cuando,ingeniería;decisiones;estado;accepted;tiempo;cuando,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-083,ARQ-017,FND-000,ESPECIALIZACION,deberá;core;estado;modelo;verificable;representa;documentation;mediante,parte;core;mediante;estado;accepted;entre,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-084,ARQ-004,FND-000,ESPECIALIZACION,deberá;deberán;text;capacidad;podrá;incluir;cuando;responsable,principios;forma;decisiones;estado;accepted;independiente,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-085,ARQ-004,FND-000,ESPECIALIZACION,deberá;deberán;text;podrá;incluir;cuando;registry;responsable,estado;accepted;arquitectura;forma;todo;deberán,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-086,ARQ-004,FND-000,ESPECIALIZACION,deberá;deberán;text;podrá;incluir;responsabilidades;todo;cuando,parte;estado;accepted;todo;forma;preservar,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-087,ARQ-017,FND-000,ESPECIALIZACION,package;manifest;deberá;todo;contracts;estado;representa;accepted,estado;accepted;propósito;todo;entre;principios,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-088,ARQ-004,FND-001,ESPECIALIZACION,deberá;deberán;text;podrá;incluir;entre;cuando;todo,ingeniería;estado;accepted;identidad;múltiples;entre,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-089,ARQ-017,FND-001,ESPECIALIZACION,deberá;dependencias;contracts;estado;trazabilidad;representa;accepted;version,ingeniería;estado;accepted;preservar;cuando;titulo,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-090,ARQ-004,FND-001,ESPECIALIZACION,deberá;deberán;text;podrá;incluir;exponer;cuando;registry,ingeniería;calidad;estado;accepted;cuando;preservar,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-091,ARQ-004,FND-001,ESPECIALIZACION,deberá;deberán;text;entre;podrá;incluir;cuando;discovery,ingeniería;decisiones;estado;accepted;entre;cuando,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-092,ARQ-004,FND-001,ESPECIALIZACION,deberá;deberán;text;podrá;incluir;mediante;cuando;podrán,ingeniería;estado;accepted;tiempo;cuando;preservar,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-093,ARQ-017,FND-001,ESPECIALIZACION,package;manifest;deberá;estado;representa;verificable;todo;contracts,largo;plazo;ingeniería;estado;accepted;preservar,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-094,ARQ-017,FND-000,ESPECIALIZACION,package;manifest;deberá;contracts;estado;modelo;representa;accepted,estado;accepted;mediante;forma;entre;deberán,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
ENG-095,ARQ-013,FND-000,ESPECIALIZACION,deberá;verificable;text;mediante;antes;gobierna;estado;accepted,mediante;estado;accepted;entre;todo;identidad,"El contenido ENG desarrolla un subconjunto técnico compatible con ARQ, sin referencia normativa explícita.",NO,NO,NO,NO
