eng_id,titulo,fnd_referenciadas,arq_referenciadas,dependencias_externas_frontmatter,clasificacion_9_3_9,canonizacion,mef_dic_id_nuevo
ENG-000,Ingeniería General,FND-004;FND-011;FND-013,ARQ-000;ARQ-001;ARQ-004;ARQ-010;ARQ-013;ARQ-014;ARQ-015;ARQ-016;ARQ-017,FND-004;FND-011;FND-013;ARQ-000;ARQ-001,DEPENDENCIA_EXPLICITA,NO,NO
ENG-001,Organización del Código,FND-013,ARQ-002;ARQ-003;ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-015,ARQ-002;ARQ-003;ARQ-004;ARQ-011;FND-013,DEPENDENCIA_EXPLICITA,NO,NO
ENG-002,Especificación de Modules,FND-004;FND-013,ARQ-004;ARQ-006;ARQ-008;ARQ-011;ARQ-013;ARQ-014;ARQ-015;ARQ-016;ARQ-017,ARQ-004;ARQ-006;ARQ-011;ARQ-014;ARQ-015,DEPENDENCIA_EXPLICITA,NO,NO
ENG-003,Manifest,,ARQ-004;ARQ-006;ARQ-011;ARQ-014;ARQ-015;ARQ-016;ARQ-017,ARQ-004;ARQ-006;ARQ-014;ARQ-015;ARQ-017,DEPENDENCIA_EXPLICITA,NO,NO
ENG-004,Convenciones,FND-013,ARQ-004;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-015;ARQ-016;ARQ-017,FND-013,DEPENDENCIA_EXPLICITA,NO,NO
ENG-005,Nomenclatura,FND-005;FND-013,ARQ-004;ARQ-006;ARQ-008;ARQ-009;ARQ-011;ARQ-013;ARQ-015;ARQ-017,FND-005,DEPENDENCIA_EXPLICITA,NO,NO
ENG-006,Estructura de Directorios,FND-013,ARQ-002;ARQ-003;ARQ-004;ARQ-015;ARQ-017,ARQ-002;ARQ-003;ARQ-004;ARQ-015,DEPENDENCIA_EXPLICITA,NO,NO
ENG-007,CLI,,ARQ-005;ARQ-006;ARQ-014;ARQ-015;ARQ-017,ARQ-005;ARQ-006;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-008,Generadores,,ARQ-009;ARQ-010;ARQ-011;ARQ-015,ARQ-009;ARQ-010,DEPENDENCIA_EXPLICITA,NO,NO
ENG-009,Testing,,ARQ-004;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016;ARQ-017,ARQ-011;ARQ-014;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
ENG-010,Logging,,ARQ-003;ARQ-008;ARQ-013;ARQ-014;ARQ-016,ARQ-008;ARQ-014;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
ENG-011,Configuration Files,,ARQ-003;ARQ-006;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ARQ-013;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
ENG-012,Build System,,ARQ-009;ARQ-010;ARQ-014;ARQ-016;ARQ-017,ARQ-017,DEPENDENCIA_EXPLICITA,NO,NO
ENG-013,Package Manager,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ARQ-006;ARQ-016;ARQ-017,DEPENDENCIA_EXPLICITA,NO,NO
ENG-014,Versionado,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ARQ-011;ARQ-014;ARQ-017,DEPENDENCIA_EXPLICITA,NO,NO
ENG-015,Architectural State Machine,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ARQ-004;ARQ-006;ARQ-014;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
