capa,fuente_id,archivo,titulo,referencias_fnd,referencias_arq,referencias_eng,elegibilidad_como_fuente,rol_en_canonizacion,sha256
FND,FND-000,FND-000-Carta_del_Proyecto.md,Carta del Proyecto,FND-000;FND-001;FND-002;FND-012;FND-013,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,3a70a7e543c58316ccdc6f8c9fa42aa80bc84aeabc45843410c352baadc94c37
FND,FND-001,FND-001-VISION.md,Visión,FND-000;FND-001;FND-002;FND-003;FND-012,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,aeb28ce89f793c64d69000cc6b227dac581c589f4a2cce3762841ca9cd4b6ed4
FND,FND-014,FND-014-GUIA_EDITORIAL.md,Estándar de Documentación,FND-005;FND-006;FND-014,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,4b92f28d573e393c7026359dde40db13aaa6f5673a1257f0eddeda180a7a3c4c
FND,FND-002,FND-02-MISION.md,Misión,FND-000;FND-001;FND-002;FND-003;FND-004,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,7125c98d034e172f6cc7d6d0a34c9fa06e3f3b3df9e7d65686e1f132ed912be4
FND,FND-003,FND-03-VALORES.md,Valores,FND-000;FND-001;FND-002;FND-003;FND-004;FND-009;FND-011,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,308f420992e17542c04faa36df583af95eff6dc7047cae6aab98018842c821f1
FND,FND-004,FND-04-PRINCIPIOS_DE_ARQUITECTURA.md,Principios de Arquitectura,FND-000;FND-001;FND-002;FND-003;FND-004;FND-009;FND-010;FND-011,ARQ-001,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,d6bf7eb1ffc1578a414a483d3fa1cb8c03a72c07e43ca7ae927ce7ab79a5695c
FND,FND-005,FND-05-LENGUAJE_OFICIAL_DE_MEF.md,Lenguaje Oficial de MEF,FND-000;FND-005,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,29f3fce241d382322c161ae300c41cf6e1f58660d1d9e82ebead51a2d40a534c
FND,FND-006,FND-06-GOBERNANZA_TECNICA.md,Gobernanza Técnica,FND-000;FND-004;FND-006;FND-012;FND-013;FND-014,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,977fbbce79a609bb3596d077c6ec3ece7d73a70fcc9c4cf0e4c734504696e5f1
FND,FND-007,FND-07-MANIFIESTO_DE_INGENIERIA_DE_DESARROLLO.md,Manifiesto de Desarrollo,FND-003;FND-004;FND-007;FND-008;FND-009;FND-014,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,9bb4c15ca47be88edca986a1f1b4786657b33beee9517d1809400946c8041544
FND,FND-008,FND-08-DECALOGO_DEL_DESARROLLADOR.md,Decálogo del Desarrollador,FND-003;FND-004;FND-006;FND-007;FND-008;FND-014,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,5885cc03a5336f6c2d706434e7e2e4f7f0db725d259a0fe777651168094bc8a2
FND,FND-009,FND-09-FILOSOFIA_DE_DISENO.md,Filosofía de Diseño,FND-003;FND-004;FND-009;FND-010;FND-011,ARQ-001,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,b6efe093c69d38a226e75f2497e8cf3fb47cbbf613821f3b54b0cfe910f6ea0a
FND,FND-010,FND-10-ARBOL_DE_DECISIONES.md,Árbol de Decisiones,FND-004;FND-009;FND-010;FND-011,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,17f187eb3f91c50b866893407896d2da75b27d735ac5863e0fcb990b9dce47af
FND,FND-011,FND-11-DOCTRINA_DE_ARQUITECTURA.md,Doctrina de Arquitectura,FND-004;FND-009;FND-010;FND-011,ARQ-001;ARQ-017,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,724565ade64bb93291794317a6d05edb07a07743c85e022f8d7f2734c6177ab0
FND,FND-012,FND-12-CONSTITUCION_DE_MEF.md,Constitución de MEF,FND-000;FND-004;FND-006;FND-012;FND-013;FND-014,,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,04621e38cd50e724cbd95b19f77b87807f620b73f6e3b0261f5ed7401b74d280
FND,FND-013,FND-13-INDEPENDENCIA_DEL_FRAMEWORK.md,Independencia del Framework,FND-000;FND-004;FND-011;FND-012;FND-013,ARQ-001;ARQ-002;ARQ-003,,AUTORIDAD_FUNDACIONAL_APTA_COMO_FUENTE,Puede respaldar decisión canónica; no crea término MEF-DIC por sí sola.,547515b0f59d8ceef5fe9314f98290a5c2d71340fc4062c169ee52799bde05e6
ARQ,ARQ-000,ARQ-000-ARQUITECTURA_GENERAL.md,Arquitectura General,FND-000;FND-004;FND-011,ARQ-000;ARQ-001;ARQ-002;ARQ-003,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,6cc524d537eb9ee938de3ae7e66354964d81208a9768713d535f9397c8f73bd5
ARQ,ARQ-001,ARQ-001-VISION_ARQUITECTONICA.md,Visión Arquitectónica,FND-004;FND-011,ARQ-000;ARQ-001;ARQ-002;ARQ-003;ARQ-004,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,61bc30b8529a3249035c63967f2a47da011d840f546ba80df961d99c2c90ec36
ARQ,ARQ-002,ARQ-002-CORE.md,Core,FND-004;FND-011;FND-013,ARQ-001;ARQ-002;ARQ-003;ARQ-004;ARQ-005,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,ca0be809b9bcffe04ebce00fe24d76784fb4f0b4473f7f658afd7a0e378f6c5f
ARQ,ARQ-003,ARQ-003-PLATFORM.md,Platform,FND-004;FND-011,ARQ-002;ARQ-003;ARQ-004;ARQ-006;ARQ-007;ARQ-008,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,8620aa57aa309e458fa8ce4707ddc531b219d85b9182a10e020fe1a5b59d0d16
ARQ,ARQ-004,ARQ-004-MODULES.md,Modules,FND-004;FND-011;FND-012;FND-013,ARQ-001;ARQ-002;ARQ-003;ARQ-004;ARQ-005;ARQ-006;ARQ-008;ARQ-014;ARQ-015,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,eba944f94f8f72f26f9030a74b618392b6075816555b7a52ce82f5ea3bcfdd1a
