"Termino","NombreCanonico","Capa","Documento","Archivo","Seccion","TipoEvidencia","TextoEvidencia","EstadoValidacion","Confianza","Notas"
"Configuration","Configuration","ARQ","ARQ-013","ARQ-013-CONFIGURATION.md","6. Responsabilidades","DEFINICION_EXPLICITA","La Configuration es responsable de:","CANDIDATO","ALTA",""
"Contract","Contract","ARQ","ARQ-011","ARQ-011-CONTRACTS.md","6. Responsabilidades","DEFINICION_EXPLICITA","Un Contract es responsable de:","CANDIDATO","ALTA",""
"Contract","Contract","ARQ","ARQ-011","ARQ-011-CONTRACTS.md","4. Filosofía","DEFINICION_EXPLICITA","Un Contract representa un acuerdo entre consumidores y proveedores.","CANDIDATO","ALTA",""
"Dependency Injection","Dependency Injection","ARQ","ARQ-012","ARQ-012-DEPENDENCY_INJECTION.md","6. Responsabilidades","DEFINICION_EXPLICITA","La Dependency Injection es responsable de:","CANDIDATO","ALTA",""
"Invariantes arquitectónicos","Invariantes arquitectónicos","ARQ","ARQ-004","ARQ-004-MODULES.md","25. Invariantes arquitectónicos","ENCABEZADO_SEMANTICO","# 25. Invariantes arquitectónicos","CANDIDATO","MEDIA",""
"Invariantes Arquitectónicos","Invariantes Arquitectónicos","ARQ","ARQ-010","ARQ-010-TEMPLATE_ENGINE.md","12. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","# 12. Invariantes Arquitectónicos","CANDIDATO","MEDIA",""
"Invariantes Arquitectónicos","Invariantes Arquitectónicos","ARQ","ARQ-011","ARQ-011-CONTRACTS.md","13. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","# 13. Invariantes Arquitectónicos","CANDIDATO","MEDIA",""
"Invariantes Arquitectónicos","Invariantes Arquitectónicos","ARQ","ARQ-012","ARQ-012-DEPENDENCY_INJECTION.md","12. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","# 12. Invariantes Arquitectónicos","CANDIDATO","MEDIA",""
"Invariantes Arquitectónicos","Invariantes Arquitectónicos","ARQ","ARQ-013","ARQ-013-CONFIGURATION.md","13. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","# 13. Invariantes Arquitectónicos","CANDIDATO","MEDIA",""
"Invariantes Arquitectónicos","Invariantes Arquitectónicos","ARQ","ARQ-017","ARQ-017-PACKAGING.md","13. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","# 13. Invariantes Arquitectónicos","CANDIDATO","MEDIA",""
"Modelo Arquitectónico","Modelo Arquitectónico","ARQ","ARQ-011","ARQ-011-CONTRACTS.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","# 5. Modelo Arquitectónico","CANDIDATO","MEDIA",""
"Modelo Arquitectónico","Modelo Arquitectónico","ARQ","ARQ-012","ARQ-012-DEPENDENCY_INJECTION.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","# 5. Modelo Arquitectónico","CANDIDATO","MEDIA",""
"Modelo Arquitectónico","Modelo Arquitectónico","ARQ","ARQ-013","ARQ-013-CONFIGURATION.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","# 5. Modelo Arquitectónico","CANDIDATO","MEDIA",""
"Modelo Arquitectónico","Modelo Arquitectónico","ARQ","ARQ-017","ARQ-017-PACKAGING.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","# 5. Modelo Arquitectónico","CANDIDATO","MEDIA",""
"Modelo de Generación","Modelo de Generación","ARQ","ARQ-010","ARQ-010-TEMPLATE_ENGINE.md","5. Modelo de Generación","ENCABEZADO_SEMANTICO","# 5. Modelo de Generación","CANDIDATO","MEDIA",""
"Module","Module","ARQ","ARQ-004","ARQ-004-MODULES.md","5. Responsabilidades","DEFINICION_EXPLICITA","Un Module es responsable de:","CANDIDATO","ALTA",""
