"Termino","NombreCanonico","Capa","Documento","Archivo","Seccion","TipoEvidencia","TextoEvidencia","EstadoValidacion","Confianza","Notas"
"¿Qué es MEF?","¿Qué es MEF?","FND","FND-000","FND-000-Carta_del_Proyecto.md","2. ¿Qué es MEF?","ENCABEZADO_CONCEPTUAL","# 2. ¿Qué es MEF?","CANDIDATO","MEDIA",""
"Alcance del producto","Alcance del producto","FND","FND-000","FND-000-Carta_del_Proyecto.md","7. Alcance del producto","ENCABEZADO_CONCEPTUAL","# 7. Alcance del producto","CANDIDATO","MEDIA",""
"Árbol de Decisiones","Árbol de Decisiones","FND","FND-010","FND-10-ARBOL_DE_DECISIONES.md","Título documental","TITULO_DOCUMENTAL","Árbol de Decisiones","CANDIDATO","ALTA",""
"Áreas de actuación","Áreas de actuación","FND","FND-002","FND-02-MISION.md","5. Áreas de actuación","ENCABEZADO_CONCEPTUAL","# 5. Áreas de actuación","CANDIDATO","MEDIA",""
"Arquitectura","Arquitectura","FND","FND-001","FND-001-VISION.md","Arquitectura","ENCABEZADO_CONCEPTUAL","## Arquitectura","CANDIDATO","MEDIA",""
"Arquitectura","Arquitectura","FND","FND-002","FND-02-MISION.md","Arquitectura","ENCABEZADO_CONCEPTUAL","## Arquitectura","CANDIDATO","MEDIA",""
"Aspiración","Aspiración","FND","FND-001","FND-001-VISION.md","3. Aspiración","ENCABEZADO_CONCEPTUAL","# 3. Aspiración","CANDIDATO","MEDIA",""
"Beneficiarios","Beneficiarios","FND","FND-002","FND-02-MISION.md","7. Beneficiarios","ENCABEZADO_CONCEPTUAL","# 7. Beneficiarios","CANDIDATO","MEDIA",""
"Carta del Proyecto","Carta del Proyecto","FND","FND-000","FND-000-Carta_del_Proyecto.md","Carta del Proyecto","ENCABEZADO_CONCEPTUAL","# Carta del Proyecto","CANDIDATO","MEDIA",""
"Carta del Proyecto","Carta del Proyecto","FND","FND-000","FND-000-Carta_del_Proyecto.md","Título documental","TITULO_DOCUMENTAL","Carta del Proyecto","CANDIDATO","ALTA",""
"Compromiso","Compromiso","FND","FND-001","FND-001-VISION.md","8. Compromiso","ENCABEZADO_CONCEPTUAL","# 8. Compromiso","CANDIDATO","MEDIA",""
"Compromisos","Compromisos","FND","FND-000","FND-000-Carta_del_Proyecto.md","11. Compromisos","ENCABEZADO_CONCEPTUAL","# 11. Compromisos","CANDIDATO","MEDIA",""
"Compromisos","Compromisos","FND","FND-002","FND-02-MISION.md","4. Compromisos","ENCABEZADO_CONCEPTUAL","# 4. Compromisos","CANDIDATO","MEDIA",""
"Comunidad","Comunidad","FND","FND-001","FND-001-VISION.md","Comunidad","ENCABEZADO_CONCEPTUAL","## Comunidad","CANDIDATO","MEDIA",""
"Comunidad","Comunidad","FND","FND-002","FND-02-MISION.md","Comunidad","ENCABEZADO_CONCEPTUAL","## Comunidad","CANDIDATO","MEDIA",""
"Conocimiento","Conocimiento","FND","FND-001","FND-001-VISION.md","Conocimiento","ENCABEZADO_CONCEPTUAL","## Conocimiento","CANDIDATO","MEDIA",""
"Constitución de MEF","Constitución de MEF","FND","FND-012","FND-12-CONSTITUCION_DE_MEF.md","Título documental","TITULO_DOCUMENTAL","Constitución de MEF","CANDIDATO","ALTA",""
"Criterios de cumplimiento","Criterios de cumplimiento","FND","FND-002","FND-02-MISION.md","8. Criterios de cumplimiento","ENCABEZADO_CONCEPTUAL","# 8. Criterios de cumplimiento","CANDIDATO","MEDIA",""
"Criterios de éxito","Criterios de éxito","FND","FND-000","FND-000-Carta_del_Proyecto.md","9. Criterios de éxito","ENCABEZADO_CONCEPTUAL","# 9. Criterios de éxito","CANDIDATO","MEDIA",""
"Decálogo del Desarrollador","Decálogo del Desarrollador","FND","FND-008","FND-08-DECALOGO_DEL_DESARROLLADOR.md","Título documental","TITULO_DOCUMENTAL","Decálogo del Desarrollador","CANDIDATO","ALTA",""
"Declaración de Misión","Declaración de Misión","FND","FND-002","FND-02-MISION.md","2. Declaración de Misión","ENCABEZADO_CONCEPTUAL","# 2. Declaración de Misión","CANDIDATO","MEDIA",""
"Declaración de Visión","Declaración de Visión","FND","FND-001","FND-001-VISION.md","2. Declaración de Visión","ENCABEZADO_CONCEPTUAL","# 2. Declaración de Visión","CANDIDATO","MEDIA",""
"Doctrina de Arquitectura","Doctrina de Arquitectura","FND","FND-011","FND-11-DOCTRINA_DE_ARQUITECTURA.md","Título documental","TITULO_DOCUMENTAL","Doctrina de Arquitectura","CANDIDATO","ALTA",""
"Documentación","Documentación","FND","FND-002","FND-02-MISION.md","Documentación","ENCABEZADO_CONCEPTUAL","## Documentación","CANDIDATO","MEDIA",""
"Ecosistema","Ecosistema","FND","FND-001","FND-001-VISION.md","Ecosistema","ENCABEZADO_CONCEPTUAL","## Ecosistema","CANDIDATO","MEDIA",""
"Ecosistema documental","Ecosistema documental","FND","FND-000","FND-000-Carta_del_Proyecto.md","8. Ecosistema documental","ENCABEZADO_CONCEPTUAL","# 8. Ecosistema documental","CANDIDATO","MEDIA",""
"Estándar de Documentación","Estándar de Documentación","FND","FND-014","FND-014-GUIA_EDITORIAL.md","Título documental","TITULO_DOCUMENTAL","Estándar de Documentación","CANDIDATO","ALTA",""
"Filosofía de Diseño","Filosofía de Diseño","FND","FND-009","FND-09-FILOSOFIA_DE_DISENO.md","Título documental","TITULO_DOCUMENTAL","Filosofía de Diseño","CANDIDATO","ALTA",""
