capa,fuente_id,archivo,titulo,bytes,lineas,frontmatter_detectado,errores_decodificacion_utf8,sha256,estado_v3,incluida_en_autoridad_v3,ids_legacy_como_autoridad
ARQ,ARQ-000,ARQ-000-ARQUITECTURA_GENERAL.md,Arquitectura General,430,26,SI,0,6cc524d537eb9ee938de3ae7e66354964d81208a9768713d535f9397c8f73bd5,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-001,ARQ-001-VISION_ARQUITECTONICA.md,Visión Arquitectónica,400,26,SI,0,61bc30b8529a3249035c63967f2a47da011d840f546ba80df961d99c2c90ec36,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-002,ARQ-002-CORE.md,Core,383,27,SI,0,ca0be809b9bcffe04ebce00fe24d76784fb4f0b4473f7f658afd7a0e378f6c5f,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-003,ARQ-003-PLATFORM.md,Platform,398,27,SI,0,8620aa57aa309e458fa8ce4707ddc531b219d85b9182a10e020fe1a5b59d0d16,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-004,ARQ-004-MODULES.md,Modules,14248,716,SI,0,eba944f94f8f72f26f9030a74b618392b6075816555b7a52ce82f5ea3bcfdd1a,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-005,ARQ-005-KERNEL.md,Kernel,385,27,SI,0,a26180d0dd0227c35191f09ddee192c8de4956c7dbd11eac13bc9f58480a52b5,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-006,ARQ-006-REGISTRY.md,Registry,378,26,SI,0,ca065680f55e320b2e2496e2e3a1d1d0f991fd146cfc178da93806c085bba1ce,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-007,ARQ-007-SERVICE_CONTAINER.md,Service Container,442,27,SI,0,c976899a82097d4629cc694c320b3265b3648aff1e2a7386f4acff6a139588a4,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-008,ARQ-008-EVENT_BUS.md,Event Bus,416,26,SI,0,eedf252e1a6c79569b8a292ad42318353a5edce7fd021fd255c20085751a40a9,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-009,ARQ-009-BUILDERS.md,Builders,429,26,SI,0,8fdfb1c7e82447b046e58aa23b8713aa7788834c3ef80076dd33d98575edf139,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,Template Engine,5387,285,SI,0,4ba7e513a2edaac907e08ef939936f13152aa602c3642f6cd578af303af159ae,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-011,ARQ-011-CONTRACTS.md,Contracts,6149,284,SI,0,62681d2bc7fde74fbe76281e818051eb54bb119ad7bce0f4544b5d9ceb679fc5,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,Dependency Injection,5772,268,SI,0,e8941d0c085a72ff74265a1bfa32f05dd95fb54a14079940b8a134aa2dd96ad2,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,Configuration,6811,316,SI,0,774ac347e90562b15867103a67c25ae5d97760d366a331e8bf2e70cd1568bfca,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-014,ARQ-014-FRAMEWORK_LIFECYCLE.md,Framework Lifecycle,439,27,SI,0,5952559d8fc0893e4f6af30fdcc846203c8765adff27ee3ec403b1c616f58fb1,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-015,ARQ-015-EXTENSION_MODEL.md,Extension Model,435,27,SI,0,b454f0edb80733f7866d776dfa0ebe1b2920e7ac62a162da192f1c2afceb1576,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-016,ARQ-016-SECURITY.md,Security,428,27,SI,0,6c619fb0eb2066602df9e8d5d9598855e3f1f036d0549a87d9538f89ae1aa712,FUENTE_PRIMARIA_CONGELADA,SI,NO
ARQ,ARQ-017,ARQ-017-PACKAGING.md,Packaging,5394,304,SI,0,2a7197aa3df06101c328e37d57a4af97f48cd4d67adce677efcc706405768a83,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,Ingeniería General,18939,839,SI,0,f7effc342bb0289be7ee51a4074200303c478a026c9650a3054ac65b5fcb1356,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,Organización del Código,23031,1080,SI,0,fc150ddc7336eaa6fb2484189e67a2258b25d3fb1869988cb32eb3ce3cdbc449,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,Especificación de Modules,22855,1170,SI,0,cebd04e0f84dce8b25dcbb8ecb3ff73fc3954b9536925aec10dbbbd841939a32,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-003,ENG-003-MANIFEST.md,Manifest,25187,1423,SI,0,41e1be96f4ef73f5f44479d65d730a72b2c9b5bffb8200622b6e293ee55e7530,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-004,ENG-004-CONVENCIONES.md,Convenciones,32847,1593,SI,0,bce391b034fdfc2d732f6b92d441537b29e0968ccc8ae1f712dfee8fe78b53ba,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-005,ENG-005-NOMENCLATURA.md,Nomenclatura,42260,2561,SI,0,28945d9abf90db5206515126ff00c895514cdf4e2ad1d7de8e9662508cb14a96,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-006,ENG-006-ESTRUCTURA_DE_DIRECTORIOS.md,Estructura de Directorios,31572,1677,SI,0,2d532cc8ccac9e1964e6560335e45fbb037ab532187c38c796337c92d88d83f1,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-007,ENG-007-CLI.md,CLI,26816,1598,SI,0,9d3211168fa53890f21c61c1d78e0cb52a81d836a10a5cabb3f6393eb70e5ed4,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-008,ENG-008-GENERADORES.md,Generadores,24956,1503,SI,0,4c864fbb168595605705c0e05f81774da0a41721faf6940d9c6b8c777b7ef655,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-009,ENG-009-TESTING.md,Testing,31932,1797,SI,0,5a51ea0314726e6457ef77c60eb8b2fe4a80adb85920b6d477da4cacff752967,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-010,ENG-010-LOGGING.md,Logging,33696,1826,SI,0,2bd28abc5005716f432e6dc83267a09fd5d0bbb67a5c98d66c5de7c20a3e877a,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-011,ENG-011-CONFIGURATION_FILES.md,Configuration Files,43074,2536,SI,0,b87b67b0b4c10b6b9b3b5ed6d4624d8b368349449d63b5f8d727a0e72e5b1e88,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-012,ENG-012-BUILD_SYSTEM.md,Build System,30305,1873,SI,0,81aa8546d9c042a74e15aca7c85d53d589b1c7eb8e1cce506cbbdbf45dd8a205,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-013,ENG-013-PACKAGE_MANAGER.md,Package Manager,50246,3046,SI,0,8ee7ade2e829f6dc468f8631a2e3ecbfa63ad420eafb6ae3188f38d8d5e6278d,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-014,ENG-014-VERSIONADO.md,Versionado,47413,2781,SI,0,b548cb84e23aaf79575732be6c98ba5605489bca018686ee361d68f2c69a2418,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-015,ENG-015-ARCHITECTURAL_STATE_MACHINE.md,Architectural State Machine,49013,3185,SI,0,6ee14e593ecde498ea508f5832789403fc7855685ffb1186e24d31eae207275e,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-016,ENG-016-COMPATIBILITY.md,Compatibility,50698,3297,SI,0,53cd3f9a7bcf4c2cfa7a4d2505dc2f366ee560b455259b02d2da891a906ec0de,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-017,ENG-017-RELEASE_PROCESS.md,Release Process,50101,3312,SI,0,036991ba80ba0e95955f4a2fd5f35859edf17d04195124c4c279364192b2160f,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-018,ENG-018-DEPENDENCY_INJECTION.md,Dependency Injection,51650,3039,SI,0,0a7d26d91bc9c50b855203f56560c67053c71a96cbf1cb6a9ef8695ca4e39b0e,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-019,ENG-019-SERVICE_CONTAINER.md,Service Container,46660,2812,SI,0,f84744230801ec27bba78066464ac3335831091c5bbad9300d11a13eebed6189,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-020,ENG-020-REGISTRY_ENGINNEERING.md,Registry Engineering,51269,3234,SI,0,7b5d832b4476095795e9e0b309e1b36fae47ed69d0e0178fe154a4ffd98cd5bf,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-021,ENG-021-CONTRACTS_ENGINNEERING.md,Contracts Engineering,54767,3293,SI,0,b9fc8508c759ca5a5cf34dfdbed860afdc833154122fc5180910209cf9ad75c1,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-022,ENG-022-EVENT_BUS_ENGINNEERING.md,Event Bus Engineering,55698,3525,SI,0,17cbc3246deadb7dbf20441fb41ed64f0e1260eb6b2941237f91383efa3a2b6d,FUENTE_PRIMARIA_CONGELADA,SI,NO
ENG,ENG-023,ENG-023-ERROR_HANDLING.md,Error Handling,52978,3419,SI,0,bde26d317429b971d06c77333f51a23659aeafdeae0ad6b9ec603cbfaee06d20,FUENTE_PRIMARIA_CONGELADA,SI,NO
