termino_extraido,variante_original,capa,fuente_id,archivo,linea,tipo_evidencia,contexto,estado_10_2,clave_lexica_provisional,apariciones
ARQ-004,ARQ-004,ARQ,ARQ-004,ARQ-004-MODULES.md,32,ENCABEZADO,ARQ-004,CANDIDATO_BRUTO_NO_CANONIZADO,arq-004,3
Modules,Modules,ARQ,ARQ-004,ARQ-004-MODULES.md,34,ENCABEZADO,Modules,CANDIDATO_BRUTO_NO_CANONIZADO,modules,4
Modules,Modules,ARQ,ARQ-004,ARQ-004-MODULES.md,44,TERMINO_DESTACADO,Definir Modules como la unidad funcional de extensión de MEF (Modular Enterprise Framework) .,CANDIDATO_BRUTO_NO_CANONIZADO,modules,4
MEF (Modular Enterprise Framework),MEF (Modular Enterprise Framework),ARQ,ARQ-004,ARQ-004-MODULES.md,44,TERMINO_DESTACADO,Definir Modules como la unidad funcional de extensión de MEF (Modular Enterprise Framework) .,CANDIDATO_BRUTO_NO_CANONIZADO,mef (modular enterprise framework),102
Declaración,Declaración,ARQ,ARQ-004,ARQ-004-MODULES.md,52,ENCABEZADO,2. Declaración,CANDIDATO_BRUTO_NO_CANONIZADO,declaración,107
Objetivos,Objetivos,ARQ,ARQ-004,ARQ-004-MODULES.md,71,ENCABEZADO,3. Objetivos,CANDIDATO_BRUTO_NO_CANONIZADO,objetivos,28
Definición de Module,Definición de Module,ARQ,ARQ-004,ARQ-004-MODULES.md,85,ENCABEZADO,4. Definición de Module,CANDIDATO_BRUTO_NO_CANONIZADO,definición de module,1
Un Module,Un Module,ARQ,ARQ-004,ARQ-004-MODULES.md,87,DEFINICION_EXPLICITA,Un Module es una unidad arquitectónica autónoma que agrupa elementos relacionados con una capacidad específica.,CANDIDATO_BRUTO_NO_CANONIZADO,un module,7
Module,Module,ARQ,ARQ-004,ARQ-004-MODULES.md,87,TERMINO_DESTACADO,Un Module es una unidad arquitectónica autónoma que agrupa elementos relacionados con una capacidad específica.,CANDIDATO_BRUTO_NO_CANONIZADO,module,8
Un Module,Un Module,ARQ,ARQ-004,ARQ-004-MODULES.md,110,DEFINICION_EXPLICITA,Un Module es responsable de,CANDIDATO_BRUTO_NO_CANONIZADO,un module,7
No responsabilidades,No responsabilidades,ARQ,ARQ-004,ARQ-004-MODULES.md,123,ENCABEZADO,6. No responsabilidades,CANDIDATO_BRUTO_NO_CANONIZADO,no responsabilidades,5
Anatomía conceptual,Anatomía conceptual,ARQ,ARQ-004,ARQ-004-MODULES.md,137,ENCABEZADO,7. Anatomía conceptual,CANDIDATO_BRUTO_NO_CANONIZADO,anatomía conceptual,1
Esta estructura,Esta estructura,ARQ,ARQ-004,ARQ-004-MODULES.md,155,DEFINICION_EXPLICITA,Esta estructura representa responsabilidades conceptuales.,CANDIDATO_BRUTO_NO_CANONIZADO,esta estructura,1
Manifest,Manifest,ARQ,ARQ-004,ARQ-004-MODULES.md,161,ENCABEZADO,8. Manifest,CANDIDATO_BRUTO_NO_CANONIZADO,manifest,16
Manifest,Manifest,ARQ,ARQ-004,ARQ-004-MODULES.md,163,TERMINO_DESTACADO,Todo Module deberá declarar un Manifest que permita al Framework identificarlo y administrarlo.,CANDIDATO_BRUTO_NO_CANONIZADO,manifest,16
API pública,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,198,ENCABEZADO,9. API pública,CANDIDATO_BRUTO_NO_CANONIZADO,api pública,5
API pública,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,202,ENCABEZADO,API pública,CANDIDATO_BRUTO_NO_CANONIZADO,api pública,5
Implementación interna,Implementación interna,ARQ,ARQ-004,ARQ-004-MODULES.md,214,ENCABEZADO,Implementación interna,CANDIDATO_BRUTO_NO_CANONIZADO,implementación interna,2
Dependencias permitidas,Dependencias permitidas,ARQ,ARQ-004,ARQ-004-MODULES.md,229,ENCABEZADO,10. Dependencias permitidas,CANDIDATO_BRUTO_NO_CANONIZADO,dependencias permitidas,1
Dependencias prohibidas,Dependencias prohibidas,ARQ,ARQ-004,ARQ-004-MODULES.md,251,ENCABEZADO,11. Dependencias prohibidas,CANDIDATO_BRUTO_NO_CANONIZADO,dependencias prohibidas,1
Dirección de dependencias,Dirección de dependencias,ARQ,ARQ-004,ARQ-004-MODULES.md,265,ENCABEZADO,12. Dirección de dependencias,CANDIDATO_BRUTO_NO_CANONIZADO,dirección de dependencias,2
Dependencias entre Modules,Dependencias entre Modules,ARQ,ARQ-004,ARQ-004-MODULES.md,293,ENCABEZADO,13. Dependencias entre Modules,CANDIDATO_BRUTO_NO_CANONIZADO,dependencias entre modules,2
Ejemplo permitido,Ejemplo permitido,ARQ,ARQ-004,ARQ-004-MODULES.md,305,ENCABEZADO,Ejemplo permitido,CANDIDATO_BRUTO_NO_CANONIZADO,ejemplo permitido,1
Sales,Sales,ARQ,ARQ-004,ARQ-004-MODULES.md,314,CODIGO_INLINE,El Module Sales consume un contrato público de Inventory .,CANDIDATO_BRUTO_NO_CANONIZADO,sales,1
Inventory,Inventory,ARQ,ARQ-004,ARQ-004-MODULES.md,314,CODIGO_INLINE,El Module Sales consume un contrato público de Inventory .,CANDIDATO_BRUTO_NO_CANONIZADO,inventory,1
Ejemplo prohibido,Ejemplo prohibido,ARQ,ARQ-004,ARQ-004-MODULES.md,316,ENCABEZADO,Ejemplo prohibido,CANDIDATO_BRUTO_NO_CANONIZADO,ejemplo prohibido,1
Comunicación entre Modules,Comunicación entre Modules,ARQ,ARQ-004,ARQ-004-MODULES.md,329,ENCABEZADO,14. Comunicación entre Modules,CANDIDATO_BRUTO_NO_CANONIZADO,comunicación entre modules,1
Categorías de Modules,Categorías de Modules,ARQ,ARQ-004,ARQ-004-MODULES.md,356,ENCABEZADO,15. Categorías de Modules,CANDIDATO_BRUTO_NO_CANONIZADO,categorías de modules,1
Modules de dominio,Modules de dominio,ARQ,ARQ-004,ARQ-004-MODULES.md,360,ENCABEZADO,Modules de dominio,CANDIDATO_BRUTO_NO_CANONIZADO,modules de dominio,1
Modules técnicos,Modules técnicos,ARQ,ARQ-004,ARQ-004-MODULES.md,372,ENCABEZADO,Modules técnicos,CANDIDATO_BRUTO_NO_CANONIZADO,modules técnicos,1
Modules de integración,Modules de integración,ARQ,ARQ-004,ARQ-004-MODULES.md,383,ENCABEZADO,Modules de integración,CANDIDATO_BRUTO_NO_CANONIZADO,modules de integración,1
Ciclo de vida,Ciclo de vida,ARQ,ARQ-004,ARQ-004-MODULES.md,397,ENCABEZADO,16. Ciclo de vida,CANDIDATO_BRUTO_NO_CANONIZADO,ciclo de vida,3
Puntos de extensión,Puntos de extensión,ARQ,ARQ-004,ARQ-004-MODULES.md,426,ENCABEZADO,17. Puntos de extensión,CANDIDATO_BRUTO_NO_CANONIZADO,puntos de extensión,1
Instalación y desinstalación,Instalación y desinstalación,ARQ,ARQ-004,ARQ-004-MODULES.md,448,ENCABEZADO,18. Instalación y desinstalación,CANDIDATO_BRUTO_NO_CANONIZADO,instalación y desinstalación,1
Versionado,Versionado,ARQ,ARQ-004,ARQ-004-MODULES.md,473,ENCABEZADO,19. Versionado,CANDIDATO_BRUTO_NO_CANONIZADO,versionado,6
