capa,fuente_id,archivo,lineas_escaneadas,candidatos_brutos_extraidos,sha256,escaneada
ARQ,ARQ-000,ARQ-000-ARQUITECTURA_GENERAL.md,26,0,6cc524d537eb9ee938de3ae7e66354964d81208a9768713d535f9397c8f73bd5,SI
ARQ,ARQ-001,ARQ-001-VISION_ARQUITECTONICA.md,26,0,61bc30b8529a3249035c63967f2a47da011d840f546ba80df961d99c2c90ec36,SI
ARQ,ARQ-002,ARQ-002-CORE.md,27,0,ca0be809b9bcffe04ebce00fe24d76784fb4f0b4473f7f658afd7a0e378f6c5f,SI
ARQ,ARQ-003,ARQ-003-PLATFORM.md,27,0,8620aa57aa309e458fa8ce4707ddc531b219d85b9182a10e020fe1a5b59d0d16,SI
ARQ,ARQ-004,ARQ-004-MODULES.md,715,61,eba944f94f8f72f26f9030a74b618392b6075816555b7a52ce82f5ea3bcfdd1a,SI
ARQ,ARQ-005,ARQ-005-KERNEL.md,27,0,a26180d0dd0227c35191f09ddee192c8de4956c7dbd11eac13bc9f58480a52b5,SI
ARQ,ARQ-006,ARQ-006-REGISTRY.md,26,0,ca065680f55e320b2e2496e2e3a1d1d0f991fd146cfc178da93806c085bba1ce,SI
ARQ,ARQ-007,ARQ-007-SERVICE_CONTAINER.md,27,0,c976899a82097d4629cc694c320b3265b3648aff1e2a7386f4acff6a139588a4,SI
ARQ,ARQ-008,ARQ-008-EVENT_BUS.md,26,0,eedf252e1a6c79569b8a292ad42318353a5edce7fd021fd255c20085751a40a9,SI
ARQ,ARQ-009,ARQ-009-BUILDERS.md,26,0,8fdfb1c7e82447b046e58aa23b8713aa7788834c3ef80076dd33d98575edf139,SI
ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,285,34,4ba7e513a2edaac907e08ef939936f13152aa602c3642f6cd578af303af159ae,SI
ARQ,ARQ-011,ARQ-011-CONTRACTS.md,284,41,62681d2bc7fde74fbe76281e818051eb54bb119ad7bce0f4544b5d9ceb679fc5,SI
ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,268,41,e8941d0c085a72ff74265a1bfa32f05dd95fb54a14079940b8a134aa2dd96ad2,SI
ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,316,43,774ac347e90562b15867103a67c25ae5d97760d366a331e8bf2e70cd1568bfca,SI
ARQ,ARQ-014,ARQ-014-FRAMEWORK_LIFECYCLE.md,27,0,5952559d8fc0893e4f6af30fdcc846203c8765adff27ee3ec403b1c616f58fb1,SI
ARQ,ARQ-015,ARQ-015-EXTENSION_MODEL.md,27,0,b454f0edb80733f7866d776dfa0ebe1b2920e7ac62a162da192f1c2afceb1576,SI
ARQ,ARQ-016,ARQ-016-SECURITY.md,27,0,6c619fb0eb2066602df9e8d5d9598855e3f1f036d0549a87d9538f89ae1aa712,SI
ARQ,ARQ-017,ARQ-017-PACKAGING.md,304,39,2a7197aa3df06101c328e37d57a4af97f48cd4d67adce677efcc706405768a83,SI
ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,839,108,f7effc342bb0289be7ee51a4074200303c478a026c9650a3054ac65b5fcb1356,SI
ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,1080,96,fc150ddc7336eaa6fb2484189e67a2258b25d3fb1869988cb32eb3ce3cdbc449,SI
ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,1170,119,cebd04e0f84dce8b25dcbb8ecb3ff73fc3954b9536925aec10dbbbd841939a32,SI
ENG,ENG-003,ENG-003-MANIFEST.md,1423,125,41e1be96f4ef73f5f44479d65d730a72b2c9b5bffb8200622b6e293ee55e7530,SI
ENG,ENG-004,ENG-004-CONVENCIONES.md,1593,137,bce391b034fdfc2d732f6b92d441537b29e0968ccc8ae1f712dfee8fe78b53ba,SI
ENG,ENG-005,ENG-005-NOMENCLATURA.md,2561,197,28945d9abf90db5206515126ff00c895514cdf4e2ad1d7de8e9662508cb14a96,SI
