clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
0.x,0.x,0.x,1,3,ENG,1,ENG-014,CODIGO_INLINE,0,BAJA_SEÑAL,NO,NO_ASIGNADO
0.x chao,0.x Chaos,0.x Chaos,1,1,ENG,1,ENG-014,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
0.x semantic,0.x Semantics,0.x Semantics,1,1,ENG,1,ENG-014,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
02-ingenieria,02-INGENIERIA,02-INGENIERIA,1,4,ENG,2,ENG-085;ENG-100,CODIGO_INLINE,0,BAJA_SEÑAL,NO,NO_ASIGNADO
197a. frontera normativa discovery vs resolution,197A. Frontera normativa Discovery vs Resolution,197A. Frontera normativa Discovery vs Resolution,1,1,ENG,1,ENG-058,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
200 ok,200 OK,200 OK,1,2,ENG,2,ENG-044;ENG-061,CODIGO_INLINE;ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
201 created,201 Created,201 Created,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
202 accepted,202 Accepted,202 Accepted,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
204 no content,204 No Content,204 No Content,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
209a. frontera normativa resolution vs discovery,209A. Frontera normativa Resolution vs Discovery,209A. Frontera normativa Resolution vs Discovery,1,1,ENG,1,ENG-059,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
260a. frontera normativa extension vs plugin,260A. Frontera normativa Extension vs Plugin,260A. Frontera normativa Extension vs Plugin,1,1,ENG,1,ENG-060,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
2pc,2PC,2PC,1,1,ENG,1,ENG-042,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
2pc cost,2PC Costs,2PC Costs,1,1,ENG,1,ENG-042,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
2pc default,2PC Default,2PC Default,1,1,ENG,1,ENG-042,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
2xx,2xx,2xx,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
