clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
accuracy,Accuracy,Accuracy,1,3,ENG,2,ENG-079;ENG-080,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
acknowledgement,Acknowledgement,Acknowledgement,1,5,ENG,4,ENG-032;ENG-041;ENG-077;ENG-087,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
acoplamiento oculto,Acoplamiento oculto,Acoplamiento oculto,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
action,Action,Action,1,4,ENG,2,ENG-015;ENG-046,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
activation,Activation,Activation,1,4,ENG,3,ENG-027;ENG-028;ENG-055,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
activation failure,Activation Failure,Activation Failure,1,5,ENG,3,ENG-027;ENG-028;ENG-029,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
activation precondition,Activation Preconditions,Activation Preconditions,1,3,ENG,3,ENG-028;ENG-047;ENG-060,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
active,Active,ACTIVE; Active,2,15,ENG,9,ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-027;ENG-028;ENG-047;ENG-049,CODIGO_INLINE;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
activo empaquetabl,Activos Empaquetables,Activos Empaquetables,1,1,ARQ,1,ARQ-017,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
actor,Actor,Actor,1,4,ENG,2,ENG-035;ENG-046,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
administrative permission,Administrative Permissions,Administrative Permission; Administrative Permissions,2,4,ENG,4,ENG-046;ENG-047;ENG-049;ENG-051,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
admission control,Admission Control,Admission Control,1,5,ENG,4,ENG-026;ENG-039;ENG-071;ENG-073,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
advice,Advice,Advice,1,3,ENG,2,ENG-046;ENG-051,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
aggregate,Aggregate,Aggregate,1,4,ENG,3,ENG-022;ENG-029;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
aggregation,Aggregation,Aggregation,1,3,ENG,3,ENG-041;ENG-081;ENG-082,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
ai-011,AI-011,AI-011,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-012,AI-012,AI-012,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-013,AI-013,AI-013,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-014,AI-014,AI-014,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-015,AI-015,AI-015,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-016,AI-016,AI-016,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-017,AI-017,AI-017,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-018,AI-018,AI-018,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-055,AI-055,AI-055,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-056,AI-056,AI-056,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
