termino_extraido,variante_original,capa,fuente_id,archivo,linea,tipo_evidencia,contexto,estado_10_2,clave_lexica_provisional,apariciones,termino_original,clave_normalizada,clave_conceptual,es_ruido
Ejemplo permitido,Ejemplo permitido,ARQ,ARQ-004,ARQ-004-MODULES.md,305,ENCABEZADO,Ejemplo permitido,CANDIDATO_BRUTO_NO_CANONIZADO,ejemplo permitido,1,Ejemplo permitido,ejemplo permitido,ejemplo permitido,True
Ejemplo prohibido,Ejemplo prohibido,ARQ,ARQ-004,ARQ-004-MODULES.md,316,ENCABEZADO,Ejemplo prohibido,CANDIDATO_BRUTO_NO_CANONIZADO,ejemplo prohibido,1,Ejemplo prohibido,ejemplo prohibido,ejemplo prohibido,True
Principio Rector,Principio Rector,ARQ,ARQ-004,ARQ-004-MODULES.md,688,ENCABEZADO,30. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio Rector,Principio Rector,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,266,ENCABEZADO,16. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio Rector,Principio Rector,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,264,ENCABEZADO,17. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio Rector,Principio Rector,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,248,ENCABEZADO,16. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio Rector,Principio Rector,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,296,ENCABEZADO,18. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Dependencias,Dependencias,ARQ,ARQ-017,ARQ-017-PACKAGING.md,167,ENCABEZADO,10. Dependencias,CANDIDATO_BRUTO_NO_CANONIZADO,dependencias,2,Dependencias,dependencias,dependencia,True
Principio Rector,Principio Rector,ARQ,ARQ-017,ARQ-017-PACKAGING.md,284,ENCABEZADO,18. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio de Conformidad Arquitectónica,Principio de Conformidad Arquitectónica,ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,135,ENCABEZADO,5. Principio de Conformidad Arquitectónica,CANDIDATO_BRUTO_NO_CANONIZADO,principio de conformidad arquitectónica,1,Principio de Conformidad Arquitectónica,principio de conformidad arquitectonica,principio de conformidad arquitectonica,True
Principio Rector,Principio Rector,ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,809,ENCABEZADO,34. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio de Organización,Principio de Organización,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,134,ENCABEZADO,6. Principio de Organización,CANDIDATO_BRUTO_NO_CANONIZADO,principio de organización,1,Principio de Organización,principio de organizacion,principio de organizacion,True
Regla de Dependencia,Regla de Dependencia,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,240,ENCABEZADO,11. Regla de Dependencia,CANDIDATO_BRUTO_NO_CANONIZADO,regla de dependencia,1,Regla de Dependencia,regla de dependencia,regla de dependencia,True
Principio Rector,Principio Rector,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,1033,ENCABEZADO,47. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Versión,Versión,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,178,ENCABEZADO,8. Versión,CANDIDATO_BRUTO_NO_CANONIZADO,versión,3,Versión,version,version,True
Dependencias,Dependencias,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,357,ENCABEZADO,16. Dependencias,CANDIDATO_BRUTO_NO_CANONIZADO,dependencias,2,Dependencias,dependencias,dependencia,True
Versión,Versión,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,905,TABLA_COLUMNA_PRINCIPAL,Versión Sí,CANDIDATO_BRUTO_NO_CANONIZADO,versión,3,Versión,version,version,True
Principio Rector,Principio Rector,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,1114,ENCABEZADO,55. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102,Principio Rector,principio rector,principio rector,True
Principio Declarativo,Principio Declarativo,ENG,ENG-003,ENG-003-MANIFEST.md,100,ENCABEZADO,3. Principio Declarativo,CANDIDATO_BRUTO_NO_CANONIZADO,principio declarativo,1,Principio Declarativo,principio declarativo,principio declarativo,True
Versión,Versión,ENG,ENG-003,ENG-003-MANIFEST.md,306,ENCABEZADO,14. Versión,CANDIDATO_BRUTO_NO_CANONIZADO,versión,3,Versión,version,version,True
Estado de Madurez,Estado de Madurez,ENG,ENG-003,ENG-003-MANIFEST.md,349,ENCABEZADO,16. Estado de Madurez,CANDIDATO_BRUTO_NO_CANONIZADO,estado de madurez,1,Estado de Madurez,estado de madurez,estado de madurez,True
Dependencies,Dependencies,ENG,ENG-003,ENG-003-MANIFEST.md,484,ENCABEZADO,23. Dependencies,CANDIDATO_BRUTO_NO_CANONIZADO,dependencies,2,Dependencies,dependencies,dependency,True
