clave_conceptual,termino_preferido_provisional,variante,tipo_relacion,canonizada_como_alias
active,Active,ACTIVE,VARIANTE_LEXICA_PROVISIONAL,NO
adapter,Adapter,Adapters,VARIANTE_LEXICA_PROVISIONAL,NO
administrative permission,Administrative Permissions,Administrative Permission,VARIANTE_LEXICA_PROVISIONAL,NO
allow,ALLOW,Allow,VARIANTE_LEXICA_PROVISIONAL,NO
alpha,Alpha,alpha,VARIANTE_LEXICA_PROVISIONAL,NO
api accidental,API accidental,API Accidental,VARIANTE_LEXICA_PROVISIONAL,NO
api publica,API pública,API Pública,VARIANTE_LEXICA_PROVISIONAL,NO
application,Application,/Application,VARIANTE_LEXICA_PROVISIONAL,NO
approved,Approved,APPROVED,VARIANTE_LEXICA_PROVISIONAL,NO
architecture graph,architecture graph,Architecture Graph,VARIANTE_LEXICA_PROVISIONAL,NO
architecture test,Architecture Test,Architecture Tests,VARIANTE_LEXICA_PROVISIONAL,NO
assertion,Assertion,Assertions,VARIANTE_LEXICA_PROVISIONAL,NO
async,Async,async,VARIANTE_LEXICA_PROVISIONAL,NO
audit event,Audit Events,Audit Event,VARIANTE_LEXICA_PROVISIONAL,NO
audit event,Audit Events,Audit ≠ Event,VARIANTE_LEXICA_PROVISIONAL,NO
authentication authorization,Authentication ≠ Authorization,Authentication = Authorization,VARIANTE_LEXICA_PROVISIONAL,NO
authentication test,Authentication Test,Authentication Tests,VARIANTE_LEXICA_PROVISIONAL,NO
authorization test,Authorization Test,Authorization Tests,VARIANTE_LEXICA_PROVISIONAL,NO
availability budget,Availability Budget,availability:budget,VARIANTE_LEXICA_PROVISIONAL,NO
availability dependency,Availability Dependency,availability:dependencies,VARIANTE_LEXICA_PROVISIONAL,NO
availability requirement,Availability Requirement,availability:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
backup,Backup,Backups,VARIANTE_LEXICA_PROVISIONAL,NO
batch operation,Batch Operation,Batch Operations,VARIANTE_LEXICA_PROVISIONAL,NO
before after,Before/After,Before / After,VARIANTE_LEXICA_PROVISIONAL,NO
beta,Beta,beta,VARIANTE_LEXICA_PROVISIONAL,NO
bootstrapping,Bootstrapping,BOOTSTRAPPING,VARIANTE_LEXICA_PROVISIONAL,NO
buffer limit,Buffer Limit,Buffer Limits,VARIANTE_LEXICA_PROVISIONAL,NO
build script,Build Script,Build Scripts,VARIANTE_LEXICA_PROVISIONAL,NO
cancellation delete,Cancellation ≠ Delete,Cancellation = Delete,VARIANTE_LEXICA_PROVISIONAL,NO
cancellation failure,Cancellation Failure,Cancellation ≠ Failure,VARIANTE_LEXICA_PROVISIONAL,NO
candidate,Candidate,candidate,VARIANTE_LEXICA_PROVISIONAL,NO
capability,Capability,capabilities,VARIANTE_LEXICA_PROVISIONAL,NO
capability requirement,Capability Requirement,Capability Requirements,VARIANTE_LEXICA_PROVISIONAL,NO
capacidad,Capacidades,capacidad,VARIANTE_LEXICA_PROVISIONAL,NO
capacity allocation,Capacity Allocation,Capacity ≠ Allocation,VARIANTE_LEXICA_PROVISIONAL,NO
capacity baseline,Capacity Baseline,capacity:baseline,VARIANTE_LEXICA_PROVISIONAL,NO
capacity forecast,Capacity Forecast,capacity:forecast,VARIANTE_LEXICA_PROVISIONAL,NO
capacity gate,Capacity Gate,Capacity Gates,VARIANTE_LEXICA_PROVISIONAL,NO
capacity limit,Capacity Limit,Capacity ≠ Limit,VARIANTE_LEXICA_PROVISIONAL,NO
capacity requirement,Capacity Requirement,capacity:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
capacity test,Capacity Test,capacity:test,VARIANTE_LEXICA_PROVISIONAL,NO
captive dependency,Captive Dependency,Captive Dependencies,VARIANTE_LEXICA_PROVISIONAL,NO
catalog discovery,Catalog Discovery,Catalog ≠ Discovery,VARIANTE_LEXICA_PROVISIONAL,NO
catalog governance,Catalog Governance,Catalog ≠ Governance,VARIANTE_LEXICA_PROVISIONAL,NO
category,category,Categories,VARIANTE_LEXICA_PROVISIONAL,NO
changelog,Changelog,CHANGELOG,VARIANTE_LEXICA_PROVISIONAL,NO
ciclo de vida,Ciclo de Vida,Ciclo de vida,VARIANTE_LEXICA_PROVISIONAL,NO
circular dependency,Circular Dependency,Circular Dependencies,VARIANTE_LEXICA_PROVISIONAL,NO
codec contract,Codec Contract,Codec ≠ Contract,VARIANTE_LEXICA_PROVISIONAL,NO
cohesion,Cohesión,Cohesion,VARIANTE_LEXICA_PROVISIONAL,NO
collection,Collection,Collections,VARIANTE_LEXICA_PROVISIONAL,NO
command,Commands,Command,VARIANTE_LEXICA_PROVISIONAL,NO
command contract,Command Contract,Command Contracts,VARIANTE_LEXICA_PROVISIONAL,NO
compare-and-set,Compare-and-Set,Compare-And-Set,VARIANTE_LEXICA_PROVISIONAL,NO
compare-and-swap,Compare-And-Swap,Compare-and-Swap,VARIANTE_LEXICA_PROVISIONAL,NO
compatibility,Compatibility,compatibility,VARIANTE_LEXICA_PROVISIONAL,NO
compatibility gate,Compatibility Gate,Compatibility Gates,VARIANTE_LEXICA_PROVISIONAL,NO
compatibility requirement,Compatibility Requirement,Compatibility Requirements,VARIANTE_LEXICA_PROVISIONAL,NO
compatibility test,Compatibility Test,Compatibility Tests,VARIANTE_LEXICA_PROVISIONAL,NO
compatible,Compatible,COMPATIBLE,VARIANTE_LEXICA_PROVISIONAL,NO
compensation rollback,Compensation ≠ Rollback,Compensation = Rollback,VARIANTE_LEXICA_PROVISIONAL,NO
compliance audit,Compliance Audit,Compliance ≠ Audit,VARIANTE_LEXICA_PROVISIONAL,NO
compliance control,Compliance Control,compliance:controls,VARIANTE_LEXICA_PROVISIONAL,NO
compliance evidence,Compliance Evidence,compliance:evidence,VARIANTE_LEXICA_PROVISIONAL,NO
compliance exception,Compliance Exception,compliance:exceptions,VARIANTE_LEXICA_PROVISIONAL,NO
compliance finding,Compliance Finding,compliance:findings,VARIANTE_LEXICA_PROVISIONAL,NO
compliance obligation,Compliance Obligation,compliance:obligations,VARIANTE_LEXICA_PROVISIONAL,NO
compliance remediation,Compliance Remediation,compliance:remediation,VARIANTE_LEXICA_PROVISIONAL,NO
compliance requirement,Compliance Requirement,compliance:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
compliance security,Compliance Security,Compliance ≠ Security,VARIANTE_LEXICA_PROVISIONAL,NO
compliant,COMPLIANT,Compliant,VARIANTE_LEXICA_PROVISIONAL,NO
component,Componentes,Component,VARIANTE_LEXICA_PROVISIONAL,NO
composition test,Composition Tests,Composition Test,VARIANTE_LEXICA_PROVISIONAL,NO
compromiso,Compromisos,Compromiso,VARIANTE_LEXICA_PROVISIONAL,NO
concurrency test,Concurrency Test,Concurrency Tests,VARIANTE_LEXICA_PROVISIONAL,NO
config,/config,config/,VARIANTE_LEXICA_PROVISIONAL,NO
configuration,Configuration,/Configuration,VARIANTE_LEXICA_PROVISIONAL,NO
configuration error,Configuration Error,Configuration Errors,VARIANTE_LEXICA_PROVISIONAL,NO
configuration secret,Configuration Secrets,Configuration ≠ Secret,VARIANTE_LEXICA_PROVISIONAL,NO
configuration state,Configuration State,Configuration ≠ State,VARIANTE_LEXICA_PROVISIONAL,NO
conflict,Conflict,CONFLICT,VARIANTE_LEXICA_PROVISIONAL,NO
conflict,Conflict,Conflicts,VARIANTE_LEXICA_PROVISIONAL,NO
conflict test,Conflict Test,Conflict Tests,VARIANTE_LEXICA_PROVISIONAL,NO
consistency,Consistency,consistency,VARIANTE_LEXICA_PROVISIONAL,NO
consistency model,Consistency Model,Consistency Models,VARIANTE_LEXICA_PROVISIONAL,NO
consistency requirement,Consistency Requirement,consistency:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
consistency state,Consistency State,consistency:state,VARIANTE_LEXICA_PROVISIONAL,NO
consumer-driven contract,Consumer-Driven Contract,Consumer-Driven Contracts,VARIANTE_LEXICA_PROVISIONAL,NO
context,Context,context,VARIANTE_LEXICA_PROVISIONAL,NO
contract,Contracts,/Contracts,VARIANTE_LEXICA_PROVISIONAL,NO
contract,Contracts,Contract,VARIANTE_LEXICA_PROVISIONAL,NO
contract,Contracts,Contracts/,VARIANTE_LEXICA_PROVISIONAL,NO
contract consumer,contract consumers,Contract Consumer,VARIANTE_LEXICA_PROVISIONAL,NO
contract diff,Contract Diff,contract diff,VARIANTE_LEXICA_PROVISIONAL,NO
contract error,Contract Error,Contract Errors,VARIANTE_LEXICA_PROVISIONAL,NO
contract integration,Contract Integration,Contracts Integration,VARIANTE_LEXICA_PROVISIONAL,NO
contract provider,Contract Provider,contract providers,VARIANTE_LEXICA_PROVISIONAL,NO
contract requirement,Contract Requirements,Contract Requirement,VARIANTE_LEXICA_PROVISIONAL,NO
contract test,Contract Tests,Contract Test,VARIANTE_LEXICA_PROVISIONAL,NO
contract test,Contract Tests,contract test,VARIANTE_LEXICA_PROVISIONAL,NO
convencion,Convenciones,Convención,VARIANTE_LEXICA_PROVISIONAL,NO
correlation test,Correlation Tests,Correlation Test,VARIANTE_LEXICA_PROVISIONAL,NO
created,CREATED,Created,VARIANTE_LEXICA_PROVISIONAL,NO
credential,Credentials,Credential,VARIANTE_LEXICA_PROVISIONAL,NO
criterio de evaluacion,Criterios de Evaluación,Criterios de evaluación,VARIANTE_LEXICA_PROVISIONAL,NO
critical component,Critical Component,Critical Components,VARIANTE_LEXICA_PROVISIONAL,NO
current,Current,current,VARIANTE_LEXICA_PROVISIONAL,NO
database constraint,Database Constraint,Database Constraints,VARIANTE_LEXICA_PROVISIONAL,NO
deep health check,Deep Health Check,Deep Health Checks,VARIANTE_LEXICA_PROVISIONAL,NO
default,Defaults,Default,VARIANTE_LEXICA_PROVISIONAL,NO
degraded,DEGRADED,Degraded,VARIANTE_LEXICA_PROVISIONAL,NO
delete,Delete,DELETE,VARIANTE_LEXICA_PROVISIONAL,NO
dependencia circular,Dependencias circulares,Dependencias Circulares,VARIANTE_LEXICA_PROVISIONAL,NO
dependencia circular,Dependencias circulares,dependencia circular,VARIANTE_LEXICA_PROVISIONAL,NO
dependencia opcional,Dependencias Opcionales,Dependencia Opcional,VARIANTE_LEXICA_PROVISIONAL,NO
deployment upgrade,Deployment Upgrade,Deployment ≠ Upgrade,VARIANTE_LEXICA_PROVISIONAL,NO
deprovisioning,Deprovisioning,DEPROVISIONING,VARIANTE_LEXICA_PROVISIONAL,NO
direccion de dependencia,Dirección de dependencias,Dirección de Dependencias,VARIANTE_LEXICA_PROVISIONAL,NO
disabled,DISABLED,Disabled,VARIANTE_LEXICA_PROVISIONAL,NO
discovery classification,Discovery ≠ Classification,Discovery & Classification,VARIANTE_LEXICA_PROVISIONAL,NO
discovery index,Discovery Index,discovery:index,VARIANTE_LEXICA_PROVISIONAL,NO
discovery provider,Discovery Provider,discovery:providers,VARIANTE_LEXICA_PROVISIONAL,NO
discovery refresh,Discovery Refresh,discovery:refresh,VARIANTE_LEXICA_PROVISIONAL,NO
discovery sourc,Discovery Sources,discovery:sources,VARIANTE_LEXICA_PROVISIONAL,NO
documentation,Documentation,DOCUMENTATION,VARIANTE_LEXICA_PROVISIONAL,NO
domain,Domain,/Domain,VARIANTE_LEXICA_PROVISIONAL,NO
domain error,Domain Error,Domain Errors,VARIANTE_LEXICA_PROVISIONAL,NO
domain persistence,Domain Persistence,Domain ≠ Persistence,VARIANTE_LEXICA_PROVISIONAL,NO
durability replication,durability:replication,Durability ≠ Replication,VARIANTE_LEXICA_PROVISIONAL,NO
durability requirement,Durability Requirement,durability:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
durability state,Durability State,durability:state,VARIANTE_LEXICA_PROVISIONAL,NO
entity,Entities,Entity,VARIANTE_LEXICA_PROVISIONAL,NO
entrypoint,Entrypoint,entrypoint,VARIANTE_LEXICA_PROVISIONAL,NO
environment capability,Environment Capability,Environment Capabilities,VARIANTE_LEXICA_PROVISIONAL,NO
