mef_dic_id_v3,nombre_canonico_pre_id,aliases_provisionales,resolucion_autoridad_10_4,autoridad_principal,evidencia_subordinada,fundamento_10_5,estado_final_v3,catalogo_congelado
MEF-V3-DIC-0001,Acoplamiento oculto,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0002,Activos Empaquetables,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0003,AI-011,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0004,AI-012,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0005,AI-013,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0006,AI-014,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0007,AI-015,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0008,AI-016,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0009,AI-017,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0010,AI-018,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0011,AI-055,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0012,AI-056,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0013,AI-057,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0014,AI-058,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0015,AI-058 La generación,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
