mef_v3_id,termino_canonico,autoridad_10_4,fnd_cobertura,fnd_fuentes,arq_cobertura,arq_fuentes,eng_cobertura,eng_fuentes,numero_capas_cubiertas,numero_fuentes_cubiertas,estado_cobertura_11_1
MEF-V3-DIC-0001,Acoplamiento oculto,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0002,Activos Empaquetables,AUTORIDAD_ARQ,NO,,SI,ARQ-017,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0003,AI-011,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0004,AI-012,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0005,AI-013,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0006,AI-014,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0007,AI-015,AUTORIDAD_ARQ,NO,,SI,ARQ-004,SI,ENG-009,2,2,COBERTURA_2_CAPAS
MEF-V3-DIC-0008,AI-016,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0009,AI-017,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0010,AI-018,AUTORIDAD_ARQ,NO,,SI,ARQ-004,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0011,AI-055,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0012,AI-056,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0013,AI-057,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0014,AI-058,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0015,AI-058 La generación,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0016,AI-059,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0017,AI-059 Las plantillas,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0018,AI-060,AUTORIDAD_ARQ,NO,,SI,ARQ-010,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0019,AI-061,AUTORIDAD_ARQ,NO,,SI,ARQ-011,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0020,AI-062,AUTORIDAD_ARQ,NO,,SI,ARQ-011,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0021,AI-063,AUTORIDAD_ARQ,NO,,SI,ARQ-011,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0022,AI-064,AUTORIDAD_ARQ,NO,,SI,ARQ-011,NO,,1,1,COBERTURA_1_CAPA
MEF-V3-DIC-0023,AI-064 Los Contracts,AUTORIDAD_ARQ,NO,,SI,ARQ-011,NO,,1,1,COBERTURA_1_CAPA
