mef_v3_id,termino_canonico,aliases_controlados,aliases_ambiguos,apariciones_alias_documentales,estado_11_3
MEF-V3-DIC-0001,Acoplamiento oculto,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0002,Activos Empaquetables,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0003,AI-011,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0004,AI-012,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0005,AI-013,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0006,AI-014,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0007,AI-015,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0008,AI-016,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0009,AI-017,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0010,AI-018,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0011,AI-055,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0012,AI-056,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0013,AI-057,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0014,AI-058,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0015,AI-058 La generación,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0016,AI-059,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0017,AI-059 Las plantillas,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0018,AI-060,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0019,AI-061,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0020,AI-062,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0021,AI-063,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0022,AI-064,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0023,AI-064 Los Contracts,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0024,AI-065,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0025,AI-066,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0026,AI-066 Los Contracts,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0027,AI-067,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0028,AI-068,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0029,AI-069,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0030,AI-070,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0031,AI-071,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0032,AI-072,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0033,AI-072 Constructor Injection,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0034,AI-073,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0035,AI-074,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0036,AI-075,0,0,0,SIN_ALIAS_DOCUMENTAL
MEF-V3-DIC-0037,AI-075 Toda política,0,0,0,SIN_ALIAS_DOCUMENTAL
