mef_v3_id,termino_canonico,autoridad_10_4,fuentes_vinculadas,fnd_fuentes,arq_fuentes,eng_fuentes,estado_vinculacion
MEF-V3-DIC-0001,Acoplamiento oculto,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0002,Activos Empaquetables,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0003,AI-011,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0004,AI-012,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0005,AI-013,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0006,AI-014,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0007,AI-015,AUTORIDAD_ARQ,2,,ARQ-004,ENG-009,VINCULADO
MEF-V3-DIC-0008,AI-016,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0009,AI-017,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0010,AI-018,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0011,AI-055,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0012,AI-056,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0013,AI-057,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0014,AI-058,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0015,AI-058 La generación,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0016,AI-059,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0017,AI-059 Las plantillas,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0018,AI-060,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0019,AI-061,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0020,AI-062,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0021,AI-063,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0022,AI-064,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0023,AI-064 Los Contracts,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0024,AI-065,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0025,AI-066,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0026,AI-066 Los Contracts,AUTORIDAD_ARQ,1,,ARQ-011,,VINCULADO
MEF-V3-DIC-0027,AI-067,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0028,AI-068,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0029,AI-069,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0030,AI-070,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0031,AI-071,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0032,AI-072,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0033,AI-072 Constructor Injection,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0034,AI-073,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0035,AI-074,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0036,AI-075,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0037,AI-075 Toda política,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0038,AI-076,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0039,AI-076 La configuración,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0040,AI-077,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0041,AI-078,AUTORIDAD_ARQ,1,,ARQ-013,,VINCULADO
MEF-V3-DIC-0042,AI-097,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0043,AI-098,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0044,AI-099,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0045,AI-100,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0046,AI-101,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0047,AI-102,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0048,AI-102 Todo Package,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0049,Anatomía conceptual,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0050,API pública,AUTORIDAD_ARQ,12,,ARQ-004,ENG-001;ENG-002;ENG-004;ENG-006;ENG-016;ENG-028;ENG-030;ENG-033;ENG-041;ENG-044;ENG-057,VINCULADO
MEF-V3-DIC-0051,API pública accidental,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0052,ARQ-004,AUTORIDAD_ARQ,70,,ARQ-001;ARQ-002;ARQ-003;ARQ-004;ARQ-005;ARQ-006;ARQ-008;ARQ-015;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-009;ENG-013;ENG-014;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-074;ENG-075,VINCULADO
MEF-V3-DIC-0053,ARQ-010,AUTORIDAD_ARQ,6,,ARQ-009;ARQ-010;ARQ-013,ENG-000;ENG-008;ENG-012,VINCULADO
MEF-V3-DIC-0054,ARQ-011,AUTORIDAD_ARQ,77,,ARQ-007;ARQ-009;ARQ-010;ARQ-011;ARQ-012;ARQ-015;ARQ-016;ARQ-017,ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-008;ENG-009;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-065;ENG-066;ENG-067;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081,VINCULADO
MEF-V3-DIC-0055,ARQ-012,AUTORIDAD_ARQ,14,,ARQ-007;ARQ-009;ARQ-011;ARQ-012;ARQ-013;ARQ-014,ENG-004;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024,VINCULADO
MEF-V3-DIC-0056,ARQ-013,AUTORIDAD_ARQ,18,,ARQ-010;ARQ-012;ARQ-013;ARQ-016;ARQ-017,ENG-000;ENG-002;ENG-004;ENG-005;ENG-010;ENG-011;ENG-013;ENG-014;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020,VINCULADO
MEF-V3-DIC-0057,ARQ-017,AUTORIDAD_ARQ,18,FND-011,ARQ-016;ARQ-017,ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017,VINCULADO
MEF-V3-DIC-0058,Artefactos Generables,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0059,Cada paquete,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0060,Categorías de Modules,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0061,CFG-001,AUTORIDAD_ARQ,4,,ARQ-013,ENG-004;ENG-005;ENG-011,VINCULADO
MEF-V3-DIC-0062,CFG-002,AUTORIDAD_ARQ,2,,ARQ-013,ENG-011,VINCULADO
MEF-V3-DIC-0063,CFG-003,AUTORIDAD_ARQ,2,,ARQ-013,ENG-011,VINCULADO
MEF-V3-DIC-0064,CFG-004,AUTORIDAD_ARQ,2,,ARQ-013,ENG-011,VINCULADO
MEF-V3-DIC-0065,CFG-005,AUTORIDAD_ARQ,2,,ARQ-013,ENG-011,VINCULADO
MEF-V3-DIC-0066,CFG-006,AUTORIDAD_ARQ,2,,ARQ-013,ENG-011,VINCULADO
MEF-V3-DIC-0067,Ciclo de Vida,AUTORIDAD_ARQ,11,FND-000,ARQ-004;ARQ-012;ARQ-014;ARQ-015;ARQ-016,ENG-002;ENG-004;ENG-050;ENG-075;ENG-081,VINCULADO
MEF-V3-DIC-0068,Compatibilidad,AUTORIDAD_ARQ,39,FND-000;FND-001,ARQ-004;ARQ-010;ARQ-011;ARQ-013;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-007;ENG-008;ENG-009;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-019;ENG-020;ENG-021;ENG-022;ENG-041;ENG-061;ENG-062;ENG-063;ENG-065;ENG-066;ENG-067;ENG-073;ENG-080;ENG-088;ENG-095;ENG-096;ENG-097,VINCULADO
MEF-V3-DIC-0069,Componentes,AUTORIDAD_ARQ,65,FND-000;FND-001;FND-002,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-001;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-033;ENG-034;ENG-035;ENG-037;ENG-038;ENG-039;ENG-042;ENG-045;ENG-048;ENG-049;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-064;ENG-065;ENG-066;ENG-068;ENG-069;ENG-070;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-083;ENG-085,VINCULADO
MEF-V3-DIC-0070,Comunicación entre Modules,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0071,Configuration,AUTORIDAD_ARQ,92,,ARQ-004;ARQ-010;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-080;ENG-082;ENG-083;ENG-084;ENG-085;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099,VINCULADO
MEF-V3-DIC-0072,Constructor Injection,AUTORIDAD_ARQ,3,,ARQ-012,ENG-018;ENG-019,VINCULADO
MEF-V3-DIC-0073,Contaminación del Core,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0074,Contenido Mínimo,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0075,Contracts,AUTORIDAD_ARQ,107,,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099;ENG-100,VINCULADO
MEF-V3-DIC-0076,Criterios de Evaluación,AUTORIDAD_ARQ,3,,ARQ-004;ARQ-013;ARQ-017,,VINCULADO
MEF-V3-DIC-0077,CT-001,AUTORIDAD_ARQ,3,,ARQ-011,ENG-021;ENG-023,VINCULADO
MEF-V3-DIC-0078,CT-002,AUTORIDAD_ARQ,2,,ARQ-011,ENG-021,VINCULADO
MEF-V3-DIC-0079,CT-003,AUTORIDAD_ARQ,2,,ARQ-011,ENG-021,VINCULADO
MEF-V3-DIC-0080,CT-004,AUTORIDAD_ARQ,2,,ARQ-011,ENG-021,VINCULADO
MEF-V3-DIC-0081,CT-005,AUTORIDAD_ARQ,2,,ARQ-011,ENG-021,VINCULADO
MEF-V3-DIC-0082,CT-006,AUTORIDAD_ARQ,2,,ARQ-011,ENG-021,VINCULADO
MEF-V3-DIC-0083,CT-007,AUTORIDAD_ARQ,2,,ARQ-011,ENG-021,VINCULADO
