capa,fuente_id,archivo,conceptos_vinculados,ids_mef_v3,apariciones
ARQ,ARQ-000,ARQ-000-ARQUITECTURA_GENERAL.md,4,MEF-V3-DIC-0109;MEF-V3-DIC-0172;MEF-V3-DIC-0186;MEF-V3-DIC-0200,5
ARQ,ARQ-001,ARQ-001-VISION_ARQUITECTONICA.md,4,MEF-V3-DIC-0052;MEF-V3-DIC-0109;MEF-V3-DIC-0186;MEF-V3-DIC-0200,6
ARQ,ARQ-002,ARQ-002-CORE.md,3,MEF-V3-DIC-0052;MEF-V3-DIC-0109;MEF-V3-DIC-0186,3
ARQ,ARQ-003,ARQ-003-PLATFORM.md,3,MEF-V3-DIC-0052;MEF-V3-DIC-0109;MEF-V3-DIC-0186,3
ARQ,ARQ-004,ARQ-004-MODULES.md,66,MEF-V3-DIC-0001;MEF-V3-DIC-0003;MEF-V3-DIC-0004;MEF-V3-DIC-0005;MEF-V3-DIC-0006;MEF-V3-DIC-0007;MEF-V3-DIC-0008;MEF-V3-DIC-0009;MEF-V3-DIC-0010;MEF-V3-DIC-0049;MEF-V3-DIC-0050;MEF-V3-DIC-0051;MEF-V3-DIC-0052;MEF-V3-DIC-0060;MEF-V3-DIC-0067;MEF-V3-DIC-0068;MEF-V3-DIC-0069;MEF-V3-DIC-0070;MEF-V3-DIC-0071;MEF-V3-DIC-0073;MEF-V3-DIC-0075;MEF-V3-DIC-0076;MEF-V3-DIC-0084;MEF-V3-DIC-0086;MEF-V3-DIC-0087;MEF-V3-DIC-0088;MEF-V3-DIC-0089;MEF-V3-DIC-0090;MEF-V3-DIC-0091;MEF-V3-DIC-0098;MEF-V3-DIC-0099;MEF-V3-DIC-0104;MEF-V3-DIC-0105;MEF-V3-DIC-0106;MEF-V3-DIC-0109;MEF-V3-DIC-0110;MEF-V3-DIC-0111;MEF-V3-DIC-0112;MEF-V3-DIC-0113;MEF-V3-DIC-0114;MEF-V3-DIC-0115;MEF-V3-DIC-0119;MEF-V3-DIC-0122;MEF-V3-DIC-0123;MEF-V3-DIC-0124;MEF-V3-DIC-0125;MEF-V3-DIC-0126;MEF-V3-DIC-0127;MEF-V3-DIC-0128;MEF-V3-DIC-0129;MEF-V3-DIC-0130;MEF-V3-DIC-0136;MEF-V3-DIC-0137;MEF-V3-DIC-0138;MEF-V3-DIC-0141;MEF-V3-DIC-0143;MEF-V3-DIC-0144;MEF-V3-DIC-0145;MEF-V3-DIC-0152;MEF-V3-DIC-0155;MEF-V3-DIC-0167;MEF-V3-DIC-0175;MEF-V3-DIC-0186;MEF-V3-DIC-0187;MEF-V3-DIC-0193;MEF-V3-DIC-0200,301
ARQ,ARQ-005,ARQ-005-KERNEL.md,3,MEF-V3-DIC-0052;MEF-V3-DIC-0109;MEF-V3-DIC-0186,3
ARQ,ARQ-006,ARQ-006-REGISTRY.md,3,MEF-V3-DIC-0052;MEF-V3-DIC-0109;MEF-V3-DIC-0186,3
ARQ,ARQ-007,ARQ-007-SERVICE_CONTAINER.md,5,MEF-V3-DIC-0054;MEF-V3-DIC-0055;MEF-V3-DIC-0092;MEF-V3-DIC-0109;MEF-V3-DIC-0186,5
ARQ,ARQ-008,ARQ-008-EVENT_BUS.md,3,MEF-V3-DIC-0052;MEF-V3-DIC-0109;MEF-V3-DIC-0186,3
ARQ,ARQ-009,ARQ-009-BUILDERS.md,5,MEF-V3-DIC-0053;MEF-V3-DIC-0054;MEF-V3-DIC-0055;MEF-V3-DIC-0109;MEF-V3-DIC-0186,5
ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,41,MEF-V3-DIC-0011;MEF-V3-DIC-0012;MEF-V3-DIC-0013;MEF-V3-DIC-0014;MEF-V3-DIC-0015;MEF-V3-DIC-0016;MEF-V3-DIC-0017;MEF-V3-DIC-0018;MEF-V3-DIC-0053;MEF-V3-DIC-0054;MEF-V3-DIC-0056;MEF-V3-DIC-0058;MEF-V3-DIC-0068;MEF-V3-DIC-0069;MEF-V3-DIC-0071;MEF-V3-DIC-0075;MEF-V3-DIC-0084;MEF-V3-DIC-0103;MEF-V3-DIC-0107;MEF-V3-DIC-0108;MEF-V3-DIC-0109;MEF-V3-DIC-0114;MEF-V3-DIC-0119;MEF-V3-DIC-0121;MEF-V3-DIC-0124;MEF-V3-DIC-0128;MEF-V3-DIC-0130;MEF-V3-DIC-0134;MEF-V3-DIC-0141;MEF-V3-DIC-0143;MEF-V3-DIC-0146;MEF-V3-DIC-0148;MEF-V3-DIC-0153;MEF-V3-DIC-0154;MEF-V3-DIC-0163;MEF-V3-DIC-0167;MEF-V3-DIC-0175;MEF-V3-DIC-0186;MEF-V3-DIC-0187;MEF-V3-DIC-0193;MEF-V3-DIC-0199,106
ARQ,ARQ-011,ARQ-011-CONTRACTS.md,48,MEF-V3-DIC-0019;MEF-V3-DIC-0020;MEF-V3-DIC-0021;MEF-V3-DIC-0022;MEF-V3-DIC-0023;MEF-V3-DIC-0024;MEF-V3-DIC-0025;MEF-V3-DIC-0026;MEF-V3-DIC-0054;MEF-V3-DIC-0055;MEF-V3-DIC-0068;MEF-V3-DIC-0069;MEF-V3-DIC-0075;MEF-V3-DIC-0077;MEF-V3-DIC-0078;MEF-V3-DIC-0079;MEF-V3-DIC-0080;MEF-V3-DIC-0081;MEF-V3-DIC-0082;MEF-V3-DIC-0083;MEF-V3-DIC-0084;MEF-V3-DIC-0092;MEF-V3-DIC-0106;MEF-V3-DIC-0107;MEF-V3-DIC-0109;MEF-V3-DIC-0114;MEF-V3-DIC-0120;MEF-V3-DIC-0124;MEF-V3-DIC-0128;MEF-V3-DIC-0129;MEF-V3-DIC-0130;MEF-V3-DIC-0136;MEF-V3-DIC-0138;MEF-V3-DIC-0140;MEF-V3-DIC-0141;MEF-V3-DIC-0142;MEF-V3-DIC-0143;MEF-V3-DIC-0147;MEF-V3-DIC-0149;MEF-V3-DIC-0151;MEF-V3-DIC-0155;MEF-V3-DIC-0161;MEF-V3-DIC-0167;MEF-V3-DIC-0175;MEF-V3-DIC-0186;MEF-V3-DIC-0187;MEF-V3-DIC-0193;MEF-V3-DIC-0199,152
