mef_v3_id,termino_canonico,capa,fuente_id,archivo,apariciones,lineas,tipos_coincidencia,formas_observadas,autoridad_10_4,tipo_vinculo_normativo,estado_vinculo
MEF-V3-DIC-0001,Acoplamiento oculto,ARQ,ARQ-004,ARQ-004-MODULES.md,1,607,CANONICO,Acoplamiento oculto,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0002,Activos Empaquetables,ARQ,ARQ-017,ARQ-017-PACKAGING.md,1,105,CANONICO,Activos Empaquetables,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0003,AI-011,ARQ,ARQ-004,ARQ-004-MODULES.md,1,588,CANONICO,AI-011,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0004,AI-012,ARQ,ARQ-004,ARQ-004-MODULES.md,1,589,CANONICO,AI-012,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0005,AI-013,ARQ,ARQ-004,ARQ-004-MODULES.md,1,590,CANONICO,AI-013,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0006,AI-014,ARQ,ARQ-004,ARQ-004-MODULES.md,1,591,CANONICO,AI-014,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0007,AI-015,ARQ,ARQ-004,ARQ-004-MODULES.md,1,592,CANONICO,AI-015,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0007,AI-015,ENG,ENG-009,ENG-009-TESTING.md,1,333,CANONICO,AI-015,AUTORIDAD_ARQ,TRAZABILIDAD_SUBORDINADA,VINCULADO
MEF-V3-DIC-0008,AI-016,ARQ,ARQ-004,ARQ-004-MODULES.md,1,593,CANONICO,AI-016,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0009,AI-017,ARQ,ARQ-004,ARQ-004-MODULES.md,1,594,CANONICO,AI-017,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0010,AI-018,ARQ,ARQ-004,ARQ-004-MODULES.md,1,595,CANONICO,AI-018,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0011,AI-055,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,211,CANONICO,AI-055,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0012,AI-056,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,212,CANONICO,AI-056,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0013,AI-057,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,213,CANONICO,AI-057,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0014,AI-058,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,214,CANONICO,AI-058,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0015,AI-058 La generación,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,214,CANONICO,AI-058 La generación,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0016,AI-059,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,215,CANONICO,AI-059,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0017,AI-059 Las plantillas,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,215,CANONICO,AI-059 Las plantillas,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0018,AI-060,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,1,216,CANONICO,AI-060,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0019,AI-061,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,205,CANONICO,AI-061,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0020,AI-062,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,206,CANONICO,AI-062,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0021,AI-063,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,207,CANONICO,AI-063,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0022,AI-064,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,208,CANONICO,AI-064,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0023,AI-064 Los Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,208,CANONICO,AI-064 Los Contracts,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0024,AI-065,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,209,CANONICO,AI-065,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0025,AI-066,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,210,CANONICO,AI-066,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0026,AI-066 Los Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,1,210,CANONICO,AI-066 Los Contracts,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0027,AI-067,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,192,CANONICO,AI-067,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0028,AI-068,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,193,CANONICO,AI-068,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0029,AI-069,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,194,CANONICO,AI-069,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0030,AI-070,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,195,CANONICO,AI-070,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0031,AI-071,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,196,CANONICO,AI-071,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0032,AI-072,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,197,CANONICO,AI-072,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0033,AI-072 Constructor Injection,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,1,197,CANONICO,AI-072 Constructor Injection,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0034,AI-073,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,223,CANONICO,AI-073,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0035,AI-074,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,224,CANONICO,AI-074,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0036,AI-075,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,225,CANONICO,AI-075,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0037,AI-075 Toda política,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,225,CANONICO,AI-075 Toda política,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0038,AI-076,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,226,CANONICO,AI-076,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0039,AI-076 La configuración,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,226,CANONICO,AI-076 La configuración,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0040,AI-077,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,227,CANONICO,AI-077,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0041,AI-078,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,1,228,CANONICO,AI-078,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0042,AI-097,ARQ,ARQ-017,ARQ-017-PACKAGING.md,1,211,CANONICO,AI-097,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0043,AI-098,ARQ,ARQ-017,ARQ-017-PACKAGING.md,1,212,CANONICO,AI-098,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0044,AI-099,ARQ,ARQ-017,ARQ-017-PACKAGING.md,1,213,CANONICO,AI-099,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0045,AI-100,ARQ,ARQ-017,ARQ-017-PACKAGING.md,1,214,CANONICO,AI-100,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
MEF-V3-DIC-0046,AI-101,ARQ,ARQ-017,ARQ-017-PACKAGING.md,1,215,CANONICO,AI-101,AUTORIDAD_ARQ,AUTORIDAD_PRIMARIA,VINCULADO
