mef_v3_id,termino_canonico,autoridad_10_4,fnd,arq,eng,numero_capas,estado_transversal_11_5,autoridad_primaria_evidenciada,conflicto_critico,resultado_11_5
MEF-V3-DIC-0001,Acoplamiento oculto,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0002,Activos Empaquetables,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0003,AI-011,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0004,AI-012,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0005,AI-013,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0006,AI-014,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0007,AI-015,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0008,AI-016,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0009,AI-017,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0010,AI-018,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0011,AI-055,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0012,AI-056,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0013,AI-057,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0014,AI-058,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0015,AI-058 La generación,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0016,AI-059,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0017,AI-059 Las plantillas,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
