subfase,control,valor,esperado,resultado
11.1,INPUT_INDEX_ROWS,203,203,PASS
11.1,SOURCE_FILES,134,134,PASS
11.1,FND_FILES,15,15,PASS
11.1,ARQ_FILES,18,18,PASS
11.1,ENG_FILES,101,101,PASS
11.1,MATRIX_ROWS,203,203,PASS
11.1,DICTIONARY_MUTATIONS,0,0,PASS
11.1,SOURCE_MUTATIONS,0,0,PASS
11.2,MEF_V3_CONCEPTS,203,203,PASS
11.2,SOURCE_CORPUS,134,134,PASS
11.2,DEFERRED_ENG_INPUT,1259,1259,PASS
11.2,DICTIONARY_MUTATIONS,0,0,PASS
11.2,SOURCE_MUTATIONS,0,0,PASS
11.2,NEW_IDS,0,0,PASS
11.3,INPUT_ALIAS_OCCURRENCES,4744,4744,PASS
11.3,UNIQUE_ALIAS_RELATIONS,7,DERIVED,PASS
11.3,AMBIGUOUS_ALIAS_RELATIONS,0,0,PASS
11.3,ENG_ONLY_PRESERVED_DEFERRED,1259,1259,PASS
11.3,DICTIONARY_MUTATIONS,0,0,PASS
11.3,SOURCE_MUTATIONS,0,0,PASS
11.3,NEW_IDS,0,0,PASS
11.4,MEF_V3_CONCEPTS,203,203,PASS
11.4,CONCEPTS_WITH_NORMATIVE_LINK,203,203,PASS
11.4,SOURCE_FILES_LINKED,134,134,PASS
11.4,NORMATIVE_CONCEPT_SOURCE_LINKS,2615,DERIVED,PASS
11.4,CONTROLLED_ALIASES_LINKED,7,7,PASS
11.4,DICTIONARY_MUTATIONS,0,0,PASS
11.4,SOURCE_MUTATIONS,0,0,PASS
11.4,NEW_IDS,0,0,PASS
11.5,MEF_V3_CONCEPTS_VALIDATED,203,203,PASS
11.5,CONCEPTS_WITH_PRIMARY_AUTHORITY_EVIDENCE,203,203,PASS
11.5,CONCEPT_SOURCE_LINKS_VALIDATED,2615,2615,PASS
11.5,HIERARCHY_LINK_CONFLICTS,0,0,PASS
11.5,AMBIGUOUS_OR_BROKEN_ALIAS_LINKS,0,0,PASS
11.5,LEGACY_ID_REFERENCES,0,0,PASS
11.5,POSSIBLE_MISSING_LINKS,0,0,PASS
11.5,CRITICAL_CONCEPT_CONFLICTS,0,0,PASS
11.5,DICTIONARY_MUTATIONS,0,0,PASS
11.5,SOURCE_MUTATIONS,0,0,PASS
11.5,NEW_IDS,0,0,PASS
