archivo,existe,bytes,sha256
FASE_11_INTEGRACION_NORMATIVA_MEF-V3.md,SI,11807,4ed96d4eff8159f9d3b4bfeda1c14d43d3f1ec319b2cca009ea61b8a4cab411c
FASE_11_1_MATRIZ_DE_COBERTURA_MEF_V3_FND_ARQ_ENG.md,SI,2224,ef2e7c166cf72d3d98b95ff3ed6d1b5d306ac789006b23421f946633831cc123
11.1_MATRIZ_COBERTURA_MEF_V3.csv,SI,36915,709b453ac51b86f4fd11b68e204325c26a25f42b2a4b351476c3190535a3b652
11.1_EVIDENCIA_COBERTURA_MEF_V3.csv,SI,4209223,46367a4a2ac5638dde04ca0d7018f7d7901f2555ee02d24be32d3b9459ae61e8
11.1_COBERTURA_POR_FUENTE.csv,SI,16334,358f47c899386d0d8c73ef14d65cdf54b041d00925f91145cd13d2f6258aca8b
11.1_CONTROLES_INTEGRIDAD.csv,SI,238,5544e52239d52419e8378e4abc60d5c4a7d175328c1e9321d3c3e1855eab455d
FASE_11_2_DETECCION_DE_NO_CONFORMIDADES_TERMINOLOGICAS.md,SI,2308,eaeee4e556a5d2936c0bb5483f7e40e6b56c8409644e0948f2dcd998c83cfe8f
11.2_NO_CONFORMIDADES_TERMINOLOGICAS.csv,SI,1610366,e1abb1e54f274a7be24a41503bf7877036621ff79c8f8350ff91deb575eadb48
11.2_RESUMEN_NO_CONFORMIDADES_POR_CONCEPTO.csv,SI,11428,1c9652915f89b8efaf2ff7a88dc8fb23f6e36ef26c1fc2eede93bce9e870bb94
11.2_CONTROLES_INTEGRIDAD.csv,SI,199,4fdf5aec601eb841c4945b748e13a9fae6cfdaedf195552ed6c8bbd421e54b9b
FASE_11_3_RESOLUCION_DE_ALIASES_Y_DENOMINACIONES_HISTORICAS.md,SI,2145,4052cabdf917e18ed38b698f9d6e39111515acf505df1c2ff15c26dbf66e3cd8
11.3_ALIASES_CONTROLADOS_MEF_V3.csv,SI,4790,5fc59b4829c63e307cf7255e1951c00e599d8b754f2c1eff646f356f5cb71ab4
11.3_ENG_ONLY_MANTENIDOS_DIFERIDOS.csv,SI,167319,ec7e573186aaeb4b86992576a0de7997d898fedac60d5f07ed80d8e2e4c337e7
11.3_RESUMEN_ALIASES_POR_CONCEPTO.csv,SI,11695,66b56aa4b12b4305a23fa65cbd6dc7c65b23fd4d58079915ae6fe69581f86c2d
11.3_CONTROLES_INTEGRIDAD.csv,SI,264,90bbeb03eb9f48cc7e3772b0c4c5e18ed8bc48c36a349a40bf35093053589432
FASE_11_4_VINCULACION_NORMATIVA_MEF_V3_CON_FUENTES.md,SI,1586,71148bbd2da76036ff51299790c9a29c565ae6370fd0a3e0c7587ce4aaa2b0aa
11.4_VINCULACION_NORMATIVA_MEF_V3_FUENTES.csv,SI,493283,3286132e2bbbe4ba3d451a4401f937d44c36d14d82f631bd04cfcb8a6c6a39d8
11.4_TRAZABILIDAD_CONCEPTO_A_FUENTES.csv,SI,32814,7ef29b66957560304b89b7e468811545ef64bed1b7fa29dbb7596ddd7f57ef47
11.4_TRAZABILIDAD_FUENTE_A_CONCEPTOS.csv,SI,48836,8b3aec1a3753cd3e9b4f4220be8af533d305e17e9abbef5297a701b39f70d20c
11.4_VALIDACION_VINCULACION_ALIASES.csv,SI,574,dcf502a18869007b95cc05e453a6ae95dab540a6c66f95f2824663b88f9be8f8
11.4_CONTROLES_INTEGRIDAD.csv,SI,297,f30ba376300e4a87575c50466271b4fa4123ca22f97ae871bafe101661c8e51a
FASE_11_5_VALIDACION_TRANSVERSAL_FND_ARQ_ENG.md,SI,2180,d98ed75a31aa993a2dba28e351cbb5e5525b6c043df7c5cc1baa40326cda4864
11.5_VALIDACION_TRANSVERSAL_MEF_V3.csv,SI,18207,774613ae813a9c84e1e04ce025d0faad7d9065e1b9db0655e1795c08d953c0cb
11.5_VALIDACION_JERARQUIA_VINCULOS.csv,SI,577096,7421928037895a0885840317969d3d0e2766176ca2b7d4d42c7732b135534e3f
11.5_HALLAZGOS_TRANSVERSALES.csv,SI,34743,cd7fa8866a0e52810efacd9a098425e0eb2e910fd09dfaa079aabde90d3f358c
11.5_CONTROLES_INTEGRIDAD.csv,SI,421,06c44bd5dc669370a84329bb6e41a206f67f6a9b86634f0959962f308ca33da7
