control,valor,esperado,resultado
VALIDATION_CATALOG,20,20,PASS
ID_UNIQUENESS_CONTROL,DEFINED,DEFINED,PASS
ID_REUSE_CONTROL,DEFINED,DEFINED,PASS
CANONICAL_NAME_CONTROL,DEFINED,DEFINED,PASS
ALIAS_AMBIGUITY_CONTROL,DEFINED,DEFINED,PASS
AUTHORITY_CONTROL,DEFINED,DEFINED,PASS
TRACEABILITY_CONTROL,DEFINED,DEFINED,PASS
ENG_ONLY_PROMOTION_CONTROL,DEFINED,DEFINED,PASS
CHANGE_ID_CONTROL,DEFINED,DEFINED,PASS
APPROVAL_STATE_CONTROL,DEFINED,DEFINED,PASS
DEPRECATION_HISTORY_CONTROL,DEFINED,DEFINED,PASS
COMMIT_TRACEABILITY_CONTROL,DEFINED,DEFINED,PASS
AUTOMATED_VALIDATOR,CREATED,CREATED,PASS
DICTIONARY_MUTATIONS,0,0,PASS
SOURCE_MUTATIONS,0,0,PASS
NEW_MEF_V3_IDS,0,0,PASS
