artefacto,estado
FASE_12_GOBERNANZA_Y_CONTROL_DE_CAMBIOS_MEF-V3.md,REQUIRED
FASE_12_1_POLITICA_DE_GOBERNANZA_Y_AUTORIDAD.md,REQUIRED
12.1_MATRIZ_DE_AUTORIDAD_Y_DECISION.csv,REQUIRED
12.1_CONTROLES_DE_GOBERNANZA.csv,REQUIRED
FASE_12_2_MODELO_DE_SOLICITUD_DE_CAMBIO.md,REQUIRED
12.2_PLANTILLA_SOLICITUD_DE_CAMBIO.csv,REQUIRED
12.2_CATALOGO_ESTADOS_Y_TIPOS_DE_CAMBIO.csv,REQUIRED
12.2_CONTROLES_MODELO_SOLICITUD_CAMBIO.csv,REQUIRED
FASE_12_3_REGLAS_DE_ALTA_MODIFICACION_Y_DEPRECACION.md,REQUIRED
12.3_MATRIZ_REGLAS_EVOLUCION_MEF_V3.csv,REQUIRED
12.3_REGLAS_IDENTIDAD_Y_CONTINUIDAD.csv,REQUIRED
12.3_CONTROLES_REGLAS_EVOLUCION.csv,REQUIRED
FASE_12_4_VALIDACIONES_AUTOMATICAS_DE_INTEGRIDAD.md,REQUIRED
12.4_CATALOGO_VALIDACIONES_AUTOMATICAS.csv,REQUIRED
12.4_CONTROLES_VALIDACIONES_AUTOMATICAS.csv,REQUIRED
validate_mef_v3_governance.py,REQUIRED
FASE_12_5_WORKFLOW_DE_APROBACION_Y_VERSIONADO.md,REQUIRED
12.5_MATRIZ_WORKFLOW_APROBACION.csv,REQUIRED
12.5_POLITICA_VERSIONADO_BASELINE.csv,REQUIRED
12.5_CONTROLES_WORKFLOW_Y_VERSIONADO.csv,REQUIRED
FASE_12_6_CIERRE_Y_BASELINE_DE_GOBERNANZA.md,REQUIRED
12.6_MANIFEST_CIERRE_GOBERNANZA.csv,REQUIRED
12.6_CONTROLES_CIERRE_GOBERNANZA.csv,REQUIRED
12.6_BASELINE_GOBERNANZA_MEF_V3.csv,REQUIRED
