"Decision","Subtipo","Motivo","Archivo","Bytes"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-001-laravel.md","1989"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-002-mysql-vs postgresql.md","5484"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-003-Arquitectura_Modular","6472"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-004-laravel_Breeze","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-005-AdminLTE4","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-006-Livewire","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-007-Redis","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-008-Docker","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-009-GitFlow","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\ADR-010-MkDocs","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ADR\README.md","1308"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-001 - Fundamentos Arquitectónicos\01-introduccion.md","5712"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-001 - Fundamentos Arquitectónicos\02-contexto-empresarial.md","6229"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-001 - Fundamentos Arquitectónicos\03-vision-arquitectonica.md","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-001 - Fundamentos Arquitectónicos\04-principios-arquitectonicos.md","6661"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-001 - Fundamentos Arquitectónicos\05-atributos-calidad.md","5390"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-001 - Fundamentos Arquitectónicos\README.md","3125"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-002 - Arquitectura Empresarial\README.md","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-003 - Arquitectura de Aplicaciones\README.md","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-004 - Arquitectura de Datos\README.md","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-005 - Arquitectura Tecnológica\README.md","7260"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-006 - Arquitectura del Sistema Mocdular\06-arquitectura-del-sistema-modular.md","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\ARQ-006 - Arquitectura del Sistema Mocdular\README.md","0"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\02-arquitectura\README.md","1957"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_1_INVENTARIO_ALCANCE_DICCIONARIO.md","9015"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_2_IDENTIDAD_FORMATO_METADATOS_DICCIONARIO.md","12831"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_3_REFERENCIAS_TRAZABILIDAD_AUTORIDAD_TERMINOLOGICA.md","16706"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_4_FRONTERAS_SOLAPAMIENTOS_UNICIDAD_SEMANTICA_DICCIONARIO.md","21191"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_5_CONSISTENCIA_TERMINOLOGICA_NOMENCLATURA_GLOBAL_DICCIONARIO.md","18060"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_6_COBERTURA_COMPLETITUD_ESTRUCTURA_TERMINOLOGICA_DICCIONARIO.md","10121"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_7_TAXONOMIA_CATEGORIAS_ESTADOS_RELACIONES_DICCIONARIO.md","17185"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_8_COHERENCIA_NORMATIVA_GLOBAL_DICCIONARIO.md","18784"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\AUDITORIA\AUDITORIA_FASE_9_CORRECCIONES_CONTROLADAS_Y_NORMALIZACIÓN_CANÓNICA_DEL_DICCIONARIO.md","8896"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\DICCIONARIO\LEGACY\DICCIONARIO_MEF_LEGACY.md","1693"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_1_CONTRATO_CANONICO.md","8671"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_2_INVENTARIO_AUTORIDADES.md","5640"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_1_METODO_EXTRACCION_CONTROLADA.md","4688"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_10_VALIDACION_SEMANTICA_21_ENG.csv","3298"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_10_VALIDACION_SEMANTICA_DE_ENG_CONTRA_FND+ARQ.md","5500"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_11_RESOLUCION_NORMATIVA_21_ENG.csv","6040"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_11_RESOLUCION_NORMATIVA_21_ENG.md","4382"
